id,group,album,First_(lp)_release,release_date,month,Selfdetermination,style,language,Language_2nd,,,,,,,,,City,sex,region
sing196,Гуцул Каліпсо,Най Бог Бороне,,21.11.2019,nov,folk rock,rock,укр,,*,,,*,*,*,*,*,Чернівці,male,Захід
sing197,Natalka Karpa,Сонцезалежна,,20.07.2019,jul,Pop/Rock,pop,укр,eng,*,,,*,*,*,*,*,Львів,female,Захід
sing198,Наталя Мирна,Сильною буду,,09.06.2019,jun,Art-pop-dream,pop,укр,"eng, рос",*,,,*,*,*,*,*,Львів,female,Захід
sing199,Ivan NAVI,Такі Молоді,*,09.10.2019,oct,,pop,укр,,*,,,*,*,*,*,*,Львів,male,Захід
sing200,Тартак,АнТАРТАКтида. Частина перша,,30.11.2019,nov,hip hop & rap,pop,укр,,*,,,*,*,*,*,*,Луцьк,male,Захід
sing201,Bria Blessing & ShockolaD,Ivasyuk,,10.10.2019,oct,pop,pop,укр,,*,*,,*,,,*,*,Львів,mix,Захід
sing202,Kroda,SELBSTWELT REMASTERED,,02.10.2019,oct,Black Metal,metal,укр,,,,*,,,,*,,Львів ,male,Захід
sing203,Христина Соловій,Любий Друг,,26.10.2019,oct,Indie Pop,indie,укр,,*,*,,*,*,*,*,*,Дрогобич,female,Захід
sing204,PIANO,Знаки,*,30.04.2019,apr,indie,indie,укр,,*,*,,*,,,*,*,Львів,mix,Захід
sing205,Danny Delta,НАВИДЖУ,,19.10.2019,oct,hip hop,hip hop & rap,укр,,*,*,,*,*,*,*,*,Нововолинськ,male,Захід
sing206,Kreker,LocoMotive,,01.04.2019,apr,hip-hop & rap,hip hop & rap,укр,,,*,*,,*,,*,,Івано-Франківськ,male,Захід
sing207,KUBA,NO! Мене нема ,*,25.07.2019,jul,hip hop,hip hop & rap,укр,,,*,,*,,,*,,Севастополь / Львів,male,Захід
sing208,Nemo 322,Х.Л.А.М.,,19.12.2019,dec,"hip hop, rap",hip hop & rap,укр,,*,*,,*,*,*,*,,Львів,male,Захід
sing209,БалансБiлого,На Балансі,,17.08.2019,aug,hip hop & rap,hip hop & rap,укр,,,*,,,,,*,*,Рівне,male,Захід
sing210,Джонні Дивний | Wootabi.,Повний Абзац,,12.11.2019,nov,hip-hop & rap,hip hop & rap,укр,,*,*,*,*,*,*,*,*,Рівне,male,Захід
sing211,Довгий Пес,#СОЦІАЛЬНИЙАЛКОГОЛІК,,12.09.2019,sep,"hip hop, rap",hip hop & rap,укр,,*,*,*,*,*,*,*,*,Львів,male,Захід
sing212,Кашляючий Ед,Переклад,,21.06.2019,jun,rap,hip hop & rap,укр,,*,*,,*,*,*,*,*,Львів,male,Захід
sing213,Псючий Син,ТОРБА,*,18.09.2019,sep,rap,hip hop & rap,укр,eng,,*,*,,,,*,,Калуш,male,Захід
sing214,ХАС,Мегаполіс,,10.05.2019,may,"Hip-Hop, RAP",hip hop & rap,укр,,*,*,,*,*,*,*,*,Львів,male,Захід
sing215,Joryj Kłoc,KORA,,10.02,feb,"rock, folk, ethno",ethno,укр,,,,*,*,,,,,Львів ,male,Захід
sing216,Hudaki Village Band,YO!,,28.01.2019,jan,"ethno, folk",ethno,укр,,*,*,*,*,*,*,*,*,Нижнє селище,mix,Захід
sing217,TYUPA,SKELI,*,22.12.2019,dec,electronic,electronic,укр,,,*,,*,*,,*,,Ужгород,mix,Захід
sing218,BRAT,V$TAVЛЯЄ,,18.01.2019,jan,ne hip hop,avant-garde,укр,eng,*,*,,*,*,*,*,*,Львів,male,Захід
sing219,Зэ Джозерс,Сложные Машинные Биты ,,26.10.2019,oct,post-punk,rock,рос,укр,*,*,*,*,*,*,*,,Калуш,male,Захід
sing220,правила поведения с пьяным мужем,том III,,10.01.2019,jan,indie,indie,рос,,,*,*,,,,*,,Львів,male,Захід
sing221,DaKooka,Герой,,01.06,jun,trip hop,electronic,рос,,*,*,,*,*,*,*,*,Чернівці,female,Захід
sing222,Somali Yacht Club,The Sea,,22.01.2019,jan,rock,rock,eng,,*,,*,*,*,*,*,*,Львів,male,Захід
sing223,1914,The Blind Leading The Blind,,11.11.2019,nov,death\doom metal,metal,eng,,*,*,*,*,*,*,*,*,Львів,male,Захід
sing224,Twelves,It's Safer On The Outside,*,12.05.2019,may,"Alternative Metal, Post-Hardcore, Metalcore",metal,eng,,,*,*,*,*,*,*,*,Львів,mix,Захід
sing225,Cancel band & DJ Shon,Movement ,,09.08.2019,aug,instrumental hip-hop,hip hop & rap,eng,,*,*,*,*,*,*,*,*,Львів,male,Захід
sing226,Palmo X,A.T.C.W.,*,18.02,feb,"Electronic, Pop, Synth",electronic,eng,укр,*,*,*,*,*,*,*,*,Львів,female,Захід
sing227,MOONZOO,Sad Dance,*,12.11.2019,nov,electronic,electronic,eng,,*,*,,*,*,*,*,*,Львів,male,Захід
sing228,Quiet Observer,Blocks of life,,14.10.2019,oct,‪‎progressive metal‬,rock,немає,-,,,*,,,,,,Ужгород,male,Захід
sing229,Sex Blender,Hormonizer,*,20.04.2019,apr,"Psychedelic, Stoner,",rock,немає,-,*,*,*,*,*,*,*,*,Львів,male,Захід
sing230,Drunk Diver,Палеоліт,,23.10.2019,oct,sludge/grind/stoner,metal,немає,-,,*,*,,,,*,*,Львів,mix,Захід
sing231,Cancel,Autumn,,02.10.2019,oct,instrumental hip-hop,hip hop & rap,немає,-,*,*,*,*,*,*,*,*,Львів,male,Захід
sing232,Artem Bemba,Airways,,10.02,feb,psychedelic,electronic,немає,-,,*,*,,,,*,,Львів,male,Захід
sing233,Golos,Lost In Tape,*,22.08.2019,aug,electronic,electronic,немає,-,,*,*,,,,,,Львів,male,Захід
sing245,Sherpa the Tiger,Great Vowel Shift,*,18.05.2019,may,krautrock/ambient,electronic,немає,-,*,*,*,*,*,*,*,*,Львів,male,Захід
sing234,Змій Львівський,Ц. Є.,,15.02,feb,Rap,hip hop & rap,укр,рос,*,*,*,*,*,*,*,*,"невідомо, десь закордоном",male,Закордон
sing246,Balaklava Blues,FLY,*,31.12.2019,dec,EDM guerrilla-folk,ethno,укр,eng,,*,,,,,,,Toronto,mix,Закордон
sing235,Marakesh,Новый День,,19.05.2019,may,Rock,rock,рос,,*,*,*,*,*,*,*,*,Berlin,male,Закордон
sing247,Drezden,"""DREZDEN""",*,30.08.2019,aug,rock ,rock,рос,,*,*,,*,*,*,*,*,"Київ, Minsk",male,Закордон
sing236,Луи Франк,Атлантида,*,31.01.2019,jan,pop,pop,рос,,*,*,,*,*,*,*,*,"Zurich, Київ",male,Закордон
sing248,СОЮЗ,Это все совсем не то,*,19.06.2019,jun,avant-pop / krautpop / fake jazz trio / indie,indie,рос,,*,*,,*,*,*,*,*,"Київ, Minsk",male,Закордон
sing237,Счастливые люди,Датаизм,*,10.01.2019,jan,Крипто-поп,indie,рос,,*,*,,*,*,*,*,*,"Los Angeles, Київ",mix,Закордон
sing249,Hains Point,Symmetry,,15.01.2019,jan,Indie Rock,rock,eng,,*,,*,*,,,,*,Amsterdam,male,Закордон
sing238,The Room Without Sun,One More Time With Feelings,*,01.03.2019,mar,Synthwave,rock,eng,,,,*,*,*,*,*,*,Berlin,male,Закордон
sing250,8X8,New Data New Day,,01.12.2019,dec,Psychedelic,rock,eng,,*,,,*,*,*,*,*,"from duo of Lane Steinberg (NYC, US) and Alex Khodchenko (Kiev, Ukraine)",male,Закордон
sing239,Inner Suffering,Slow Dance On The Ashes Of Failure,,03.02,feb,,metal,eng,,,,*,,,,*,,Tulsa (USA),mix,Закордон
sing251,Любомир Мельник,Fallen Trees,,07.12.2019,dec,,instrumental,немає,-,*,*,*,*,*,*,*,*,Kingston,male,Закордон
sing240,2sleepy,For The Next Day,,22.11.2019,nov,electronic,electronic,немає,-,*,*,,*,*,*,*,*,Київ Krakow Brooklyn,male,Закордон
sing252,Dronny Darko & Apollonius,The Sea of Potentials,*,22.09.2019,sep,dark ambient,electronic,немає,-,,*,*,,,,,,"Київ, Eindhoven",male,Закордон
sing241,ZAVOLOKA,Promeni,,24.09.2019,sep,Electronica,avant-garde,немає,-,*,*,*,,*,,*,,Vienna,female,Закордон
sing242,Coven,Black Dahlia (Dahlia Murder),,05.02.2019,feb,"Experimental, avant-garde, noise, dark",avant-garde,немає,-,*,,*,*,*,*,*,,Madrid,male,Закордон
sing243,Deadly Oak,Existential Crisis (Red Lust​-​Phobia),,10.01.2019,jan,"Dark, deep, electro wave, darkwave, witch house, avant-garde, dub.
",avant-garde,немає,-,*,*,*,*,*,,*,*,Madrid,male,Закордон
