id,group,album,First_(lp)_release,release_date,month,Selfdetermination,style,language,Language_2nd,,,,,,,,,City,sex,region
sing58,Ворона,Звуки,*,16.11.2019,nov,pop,pop,рос,,*,*,,*,*,*,*,*,Київ,female,Центр
sing59,Луна,Заколдованные сны,,24.10.2019,oct,pop,pop,рос,,*,*,,*,*,*,*,*,Київ,female,Центр
sing60,Alex Zakharchuk,ЖИВЕМ ОДИН РАЗ,*,15.05.2019,may,pop,pop,рос,укр,*,,,*,*,*,*,,Київ,male,Центр
sing61,Луи Франк,Атлантида,*,31.01.2019,jan,pop,pop,рос,,*,*,,*,*,*,*,*,"Zurich, Київ",male,Центр
sing62,Viu Viu,FAKE BOY,*,28.09.2019,sep,dance & edm,pop,рос,eng,*,*,,*,,*,*,*,Київ,mix,Центр
sing63,I N G R E T,Не спи,*,12.10.2019,oct,alternative,indie,рос,укр,*,,,*,*,*,*,*,Київ,female,Центр
sing64,СОЮЗ,Это все совсем не то,*,19.06.2019,jun,avant-pop / krautpop / fake jazz trio / indie,indie,рос,,*,*,,*,*,*,*,*,"Київ, Minsk",male,Центр
sing65,Voloshyna & Bushiko,10 писем к Сапфо,,21.03.2019,mar,poetry,indie,рос,,,*,,,,,,,Київ,mix,Центр
sing66,Счастливые люди,Датаизм,*,10.01.2019,jan,Крипто-поп,indie,рос,,*,*,,*,*,*,*,*,"Los Angeles, Київ",mix,Центр
sing67,044 Rose,ROSE 044,,15.11.2019,nov,hip hop pop,hip hop & rap,рос,,*,*,,*,*,*,*,*,Київ,male,Центр
sing68,Daamage,Зло Употребляй,*,05.06.2019,jun,electro-pop,hip hop & rap,рос,,*,*,,*,*,*,*,*,Київ,male,Центр
sing69,Delta Arthur,Trappin in Ukraine,,25.04.2019,apr,Hip Hop / Rap,hip hop & rap,рос,eng,*,*,*,*,*,*,*,*,Київ,male,Центр
sing70,Galafo x Симптом(НЖН),VERUM,,22.06.2019,jun,hip hop,hip hop & rap,рос,,*,*,,,,,*,,Київ,male,Центр
sing71,LemOjOviE,We Do,*,22.02,feb,"Funk, Soul, Nu Disco, Hip-Hop",hip hop & rap,рос,eng,*,*,,*,*,*,*,*,Київ,male,Центр
sing72,soda 9000,Скажи ей пусть послушает,*,01.11.2019,nov,rap,hip hop & rap,рос,,*,,*,*,*,*,*,*,Київ,male,Центр
sing73,Миша,Мишtape #1,*,25.05.2019,may,"Hip-Hop/Rap, R&B",hip hop & rap,рос,,*,,,*,*,*,*,*,Київ,male,Центр
sing74,Неизвестность.,X BANGER,,19.04.2019,apr,mixtape,hip hop & rap,рос,,*,*,,*,*,*,*,*,Київ,male,Центр
sing75,r.roo,Delicate reflex part 3,,31.07.2019,jul,electronic,electronic,рос,,*,,*,*,*,*,*,*,Київ,male,Центр
sing76,Вагоновожатые,Референс,,18.11.2019,nov,dans/electro,electronic,рос,укр,*,*,*,*,*,*,*,*,Київ,male,Центр
sing77,Lyudska Podoba,Volnydorozhkibarashki,*,28.09.2019,sep,Experimental electronic pop,avant-garde,рос,,*,*,*,*,*,*,*,*,Київ,mix,Центр
sing78,Amphibian Man,No Surfers In My Town,,23.11.2019,nov,surf rock,rock,eng,,*,*,*,*,*,*,*,*,Київ,male,Центр
sing79,Dead Faith,Mourning Star,,16.03.2019,mar,Techno-industrial,rock,eng,,,,*,,,,,,Київ,male,Центр
sing80,DETACH,D.R.A.M.A,,30.11.2019,nov,Alternative,rock,eng,,*,*,*,*,*,*,*,*,Київ,male,Центр
sing81,Max Tovstyi,Mesmerize,,21.05.2019,may,blues/progressive rock,rock,eng,,*,,*,*,*,*,*,*,Київ,male,Центр
sing82,Orpha,Orpha,*,14.08.2019,aug,Post-hardcore,rock,eng,,*,,*,*,,,,*,Київ,male,Центр
