"group","album","id","Selfdetermination","style","language","City","sex","region","Название.трека","audio","image","Ссылка.на.группу","listen","isaudio","aprize","year"
"Atomic Simao","Levitation Loom Four","sing18","psychedelic jazz, instrumental","jazz","англійська","Київ","чоловіча","Київ","Paper Towers","Atomic_Simao_Paper_Towers.mp3","https://karabas.live/wp-content/uploads/2018/12/47345209_369567920464006_630201534889590784_n.jpg","https://www.facebook.com/AtomicSimao/?eid=ARDDG--hd76BelOceMI0olGWfYMkPSOy30X5i93LC9-2dOezOU2__IvPG7FiNBGjrqNypHfQLO8EyJLS","https://atomicsimao.bandcamp.com/album/levitation-loom-four","yes","long list","2018"
"Balaklava Blues","FLY","sing19","EDM guerrilla-folk","ethno","мікс","Toronto","мікс","Закордон","","","https://l.facebook.com/l.php?u=https%3A%2F%2Fnotatky.com.ua%2Fwp-content%2Fuploads%2Ffly-400.jpg%3Ffbclid%3DIwAR1I-q5tJSSTEvcIE5qkhiLQYxN9-Tv6fRxdtF00nHQrIZDNVPzE12wYtqU&h=AT1sUxYCFrS_DW_q0-TcigX63pxuXqI37_bjECuRu_2_8pNCSdPOr0c25tZ_W1cyXdGAvUyx-8_l-AjrwXHkFvA9uTE1FPP2oL5YGNvPpN1Po2SElZZ9yWTt0xAjmg","https://www.facebook.com/balaklavablues/?ref=br_rs","https://soundcloud.com/user-160332128/sets/fly","","long list","2018"
"Banned society","Candy","sing20","hip hop","electronic","англійська","Дніпро","чоловіча","Центр","No My Faces (feat. Marzena Slowik)","banned_society_No_My_Faces_(feat._Marzena_Slowik).mp3","https://images-na.ssl-images-amazon.com/images/I/51kxZ2uCB%2BL._SS500.jpg","https://www.facebook.com/bannedsociety/","https://soundcloud.com/awsm_music/sets/candy","yes","long list","2018"
"Blooms Corda","Fog Lavender","sing21","funk, jazz, indie","indie","українська","Київ","чоловіча","Київ","Moya california","Blooms_Corda_Moya_california.mp3","https://i1.sndcdn.com/avatars-000527218128-mqm07c-t500x500.jpg","https://www.facebook.com/bloomscorda/","https://soundcloud.com/blooms-corda/sets/fog-lavender-2018","yes","long list","2018"
"Cancel band & DJ Shon","Movement","sing22","instrumental hip-hop","hip hop & rap","англійська","Львів","чоловіча","Захід","Dust","The_Cancel_&_DJ_Shon_Dust.mp3","https://f4.bcbits.com/img/a1376510507_16.jpg","https://www.facebook.com/TheCancel/","https://thecancelmusic.bandcamp.com/album/movement","yes","long list","2018"
"Cape Cod","Echoes","sing23","electronic house","electronic","англійська","Київ","чоловіча","Київ","Echo 3","Cape_Cod_Echo_3.mp3","https://i1.sndcdn.com/artworks-000412022217-rrqn5f-t500x500.jpg","https://www.facebook.com/capecodband/","https://play.google.com/store/music/album/Cape_Cod_Echoes?id=Bvxmwjkwyzq6sjdmk6qw73stweq","yes","long list","2018"
"CEPASA","Dark Beauty","sing24","Electronic","electronic","англійська","Київ","чоловіча","Київ","Dark Beauty","Cepasa_Dark_Beauty.mp3","https://toloka.to/photos/181220211919804752_f0_0.jpg","https://www.facebook.com/cepasaofficial/","https://soundcloud.com/cepasa/sets/dark-beauty-2018","yes","long list","2018"
"DaKooka","Герой","sing25","trip hop","electronic","російська","Чернівці","жіноча","Захід","Герой","daKooka_Герой.mp3","https://s.mxmcdn.net/images-storage/albums4/0/0/5/1/2/2/40221500_350_350.jpg","https://www.facebook.com/dakooka/","https://www.deezer.com/en/album/67055972","yes","long list","2018"
"Dark Side Trio","Old Bookcase","sing26","jazz","jazz","немає","Дніпро","чоловіча","Центр","City of the Large Squares","Dark_Side_Trio_City_of_the_Large_Squares.mp3","https://kyiv-online.net/wp-content/uploads/2018/05/afisha-kyiv-space-mk-dark-side-trio.jpg","https://www.facebook.com/trioDarkSide/","https://itunes.apple.com/ua/album/old-bookcase/1358849923?l=ru","yes","long list","2018"
"Freel","Спалах","sing27","rap","hip hop & rap","українська","Київ","чоловіча","Київ","Хочеш приїду","Freel_Хочеш_приїду.mp3","https://notatky.com.ua/wp-content/uploads/spalah-400.jpg","https://www.facebook.com/me.freel/","https://soundcloud.com/me-freel/sets/freel-spalah","yes","long list","2018"
"Gamardah Fungus","Crossing The Wasteland","sing28","Ambient / Drone / Noir","avant-garde","немає","Дніпро","чоловіча","Центр","Smoke over Domes","Gamardah_Fungus_Smoke_over_Domes.mp3","https://f4.bcbits.com/img/a2531966832_16.jpg","https://www.facebook.com/GamardahFungus","https://gamardahfungus.bandcamp.com/?fbclid=IwAR3ctGdSIZPtH-wCj-HH1bFatczYY7ZZI9J4K_PbHINJzHhhT8lP7JZSQEI","yes","long list","2018"
"Heinali","Iridescent","sing29","Ambient, electronic","electronic","немає","Київ","чоловіча","Київ","Iridescent","Heinali_Iridescent.mp3","https://assets.boomkat.com/spree/products/533512/large/192562903995.jpg","https://www.facebook.com/heinali/","https://itunes.apple.com/us/album/iridescent/1435071964","yes","long list","2018"
"Hudaki Village Band","YO!","sing30","ethno, folk","ethno","українська","Нижнє селище","мікс","Захід","From Khust to Sighet","Hudaki_village_band_From_Khust_to_Sighet.mp3","https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/a4/da/55/a4da55bb-08af-86ae-545c-e2d71baa64c9/193428262881.jpg/626x0w.jpg","https://www.facebook.com/hudakivillageband/","https://hudakivillageband.bandcamp.com/releases","yes","long list","2018"
"Indytronics (INDT)","Palace","sing31","alternative","indie","англійська","Київ","чоловіча","Київ","Savannah Only Temple","INDT_Savannah_Only_Temple.mp3","https://www.neformat.com.ua/images/imagecache/material_680w/releases/42140103642_44c33eeefb_o.jpg","https://www.facebook.com/doyouknowindt","https://itunes.apple.com/ua/album/palace/1386327463?l=ru","yes","long list","2018"
"Jamala","Крила","sing32","pop","pop","мікс","Київ","жіноча","Київ","Hvili","Jamala_Hvili.mp3","https://yt3.ggpht.com/a-/AN66SAyal4UOP_mRAWdQ9PsZaopKiTWmno-UpC59xA=s900-mo-c-c0xffffffff-rj-k-no","https://www.facebook.com/jamalaofficial/","https://itunes.apple.com/ua/album/%D0%BA%D1%80%D0%B8%D0%BB%D0%B0/1437159875?l=ru","yes","long list","2018"
"Jinjer","Cloud Factory","sing33","Groove metal","metal","мікс","Донецьк","мікс","Схід","Bad Water","Jinjer_Bad_Water.mp3","https://images.genius.com/bc6a0e3c5666c1feb8b498c5398bfe7e.700x700x1.jpg","https://www.facebook.com/JinjerOfficial/","https://itunes.apple.com/ru/album/cloud-factory/1323278426","yes","long list","2018"
"King Imagine","Femininho","sing34","Experimental","avant-garde","мікс","Київ","чоловіча","Київ","Femininho","King_Imagine_Femininho.mp3","https://3.bp.blogspot.com/-2VEu6EPLlSg/W9gunNsKBHI/AAAAAAAAFTY/V615SBUgnw0iXzE1tEdCnOlp8ZECx-X2gCLcBGAs/s400/%25D0%25BC%25D1%2583%25D0%25B7%25D1%258B%25D0%25BA%25D0%25B0.jpg","https://www.facebook.com/King-Imagine-aka-Bass-Assassin-173298599390330/","https://skprecords.bandcamp.com/album/king-imagine-femininho","yes","long list","2018"
"KRUTЬ","Live Concert With Chamber Orchestra","sing35","","indie","мікс","Київ","жіноча","Київ","Last Night (Live Orchestra)","KRUTЬ_Last_Night.mp3","https://cdns-images.dzcdn.net/images/cover/65781a196af84a8b8b24bb2509ecd52e/200x200-000000-80-0-0.jpg","https://www.facebook.com/bandurakrut/","https://play.google.com/store/music/album/KRUT%D0%AC_Live_Concert_With_Chamber_Orchestra?id=Bct5uphaqmky44no3ba7z2j7j74","yes","long list","2018"
"Kurs Valüt","Veselo","sing36","Синтетичні інсинуації","electronic","українська","Дніпро","чоловіча","Центр","Veselo","Kurs_Valut_Veselo.mp3","https://www.neformat.com.ua/images/imagecache/material_680w/news/a1880907266_10.jpg","https://www.facebook.com/gurtkursvalut/","https://pincet.bandcamp.com/album/veselo?fbclid=IwAR2uq0kFNmROvXrnlNv1JxJMKryzeyq7hnIJ4pDkQH7Hlt2QvKEau2QIhAE","yes","long list","2018"
"LATEXFAUNA","Ajahuaska","sing37","indie pop","indie","українська","Київ","чоловіча","Київ","Australia","Latexfauna_Australia.mp3","https://images.genius.com/18bec85e198cec2eea3869cfaea3ce85.600x600x1.jpg","https://www.facebook.com/latexfauna/","https://www.deezer.com/en/album/62151552","yes","long list","2018"
"LAUD","Музика","sing38","","pop","українська","Київ","чоловіча","Київ","Muzika","LAUD_Muzika.mp3","https://toloka.to/photos/181025122857804752_f0_0.jpg","https://www.facebook.com/laudenjoy/?ref=br_rs","https://soundcloud.com/enjoylaud/sets/music","yes","long list","2018"
"Lyudska Podoba","Volnydorozhkibarashki","sing39","Experimental electronic pop","avant-garde","специфічна","Київ","мікс","Київ","Illuzii Svoi","Lyudska_Podoba_Illuzii_Svoi.mp3","https://f4.bcbits.com/img/a3570139740_16.jpg","https://www.facebook.com/LyudskaPodoba/","https://itunes.apple.com/ua/album/volnydorozhkibarashki/1437747002?i=1437747225","yes","long list","2018"
"ONUKA","MOZAЇKA","sing40","electronic","electronic","мікс","Київ","мікс","Київ","ANIMAL","Onuka_ANIMAL.mp3","https://i1.sndcdn.com/artworks-000321441057-5qvvj7-t500x500.jpg","https://www.facebook.com/onuka.official/","https://soundcloud.com/onukaofficial/sets/onuka-mozaika","yes","long list","2018"
"Postman","Everything is New","sing41","indie folk","country","мікс","Київ","чоловіча","Київ","Like a Child","Postman_Like_a_Child.mp3","https://img.the-village.com.ua/the-village.com.ua/post_image-image/LuxoslUMWVhsFs1mleTjGw-article.jpg","https://www.facebook.com/postmansings/","https://soundcloud.com/postmanplays/sets/everything-is-new-lp-2018","yes","long list","2018"
"r.roo","Delicate reflex part 3","sing42","electronic","electronic","російська","Київ","чоловіча","Київ","Incident with the Man Who Carries a Case","R.roo_Incident_with_the_Man_Who_Carries_a_Case.mp3","https://f4.bcbits.com/img/a1227643159_10.jpg","https://www.facebook.com/rroo.idm/","https://rroo.bandcamp.com/album/delicate-reflex-part-3","yes","long list","2018"
"Stoned Jesus","Pilgrims","sing43","rock","rock","англійська","Київ","чоловіча","Київ","Thessalia","Stoned_Jesus_Thessalia.mp3","https://f4.bcbits.com/img/a1224613244_10.jpg","https://www.facebook.com/stonedjesusband/","https://itunes.apple.com/us/album/pilgrims/1403423847","yes","long list","2018"
"The Orchestra Of Mirrored Reflections","Narrow Escape","sing44","Dark Jazz","jazz","немає","Дніпро","мікс","Центр","","","https://f4.bcbits.com/img/a3108677677_16.jpg","https://www.facebook.com/TheOrchestraOfMirroredReflections","https://joltai.bandcamp.com/album/narrow-escape","","long list","2018"
"Voin Oruwu","Big Space Adventure","sing45","electronic","electronic","немає","Київ","чоловіча","Київ","","","https://imagesaws.juno.co.uk/300/CS686272-01A-MED.jpg","https://www.facebook.com/oruwu/?ref=py_c&eid=ARCpBhg5CJ2Y6S8Fiu7LgnGJp-5pQ4bvFGgaYUYQ84C0KCO7HY8rXF2a-oETFctZZzdX5emEIdrH54Hc","https://soundcloud.com/privatepersons/privatepersons007","","long list","2018"
"Woo York","Chasing The Dream","sing46","electronic","electronic","немає","Київ","чоловіча","Київ","Second Breath","Woo_York_Second_Breath.mp3","https://scontent.fiev18-1.fna.fbcdn.net/v/t1.0-9/31948851_1255898851206785_3604929633952202752_n.jpg?_nc_cat=109&_nc_ht=scontent.fiev18-1.fna&oh=5396ec8146018e3cea35257c3e08231e&oe=5C9BF19F","https://www.facebook.com/woo.york.official/","https://soundcloud.com/woo-york/sets/chasing-the-dream-lp","yes","long list","2018"
"YUKO","DURA?","sing47","electronic","electronic","мікс","Київ","мікс","Київ","YARYNO","YUKO_YARYNO.mp3","https://i1.sndcdn.com/artworks-000448515327-59b3vv-t500x500.jpg","https://www.facebook.com/yukoUA/","https://soundcloud.com/masterskayalab/sets/yuko-dura","yes","long list","2018"
"Yuriy Seredin","Asylum Search","sing48","Jazz","jazz","немає","Київ","чоловіча","Київ","Asylum Search","Yuriy_Seredin_Asylum_Search.mp3","https://images-na.ssl-images-amazon.com/images/I/61avmspP3eL._SS500.jpg","https://www.facebook.com/yuriy.seredin","https://itunes.apple.com/de/album/asylum-search-feat-ben-van-gelder-igor-spallati-igor-osypov/1442107261?l=en&fbclid=IwAR3Tu9qVLDA0ARyxy6RfceNz9-rRd1lojxIsbdWiH-9jpcIRHx1bqKtMYiE","yes","long list","2018"
"ZAVOLOKA","Promeni","sing49","Electronica","avant-garde","немає","Vienna","жіноча","Закордон","","","https://f4.bcbits.com/img/a1015221388_10.jpg","https://www.facebook.com/Zavoloka.Official/","https://shop.zavoloka.com/album/promeni","","long list","2018"
"Вагоновожатые","Референс","sing50","dans/electro","electronic","мікс","Київ","чоловіча","Київ","Chelovecheskie slabosti","Vagonovozhatyie_Chelovecheskie_slabosti.mp3","https://www.buro247.ua/thumb/670x830_0/images/2018/11/vagonovozhatye-reference-album-3.jpg","https://www.facebook.com/vagonodrivers/","https://itunes.apple.com/ua/album/%D1%80%D0%B5%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%81/1441136499","yes","long list","2018"
"Луи Франк","Атлантида","sing51","pop","pop","російська","Zurich, Київ","чоловіча","Київ","Перекрестки (feat. Дина Корзун & Илья Галушко)","Луи_Франк_Перекрестки.mp3","https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/a3/0c/01/a30c0189-0a5c-c9de-79ae-a1720bad1298/5060268290037.jpg/268x0w.jpg","https://www.facebook.com/louisfranck.official/","https://itunes.apple.com/ua/album/%D0%BB%D1%83%D0%B8-%D1%84%D1%80%D0%B0%D0%BD%D0%BA-%D0%B0%D1%82%D0%BB%D0%B0%D0%BD%D1%82%D0%B8%D0%B4%D0%B0-feat-%D0%B4%D0%B8%D0%BD%D0%B0-%D0%BA%D0%BE%D1%80%D0%B7%D1%83%D0%BD-%D0%B8%D0%BB%D1%8C%D1%8F-%D0%B3%D0%B0%D0%BB%D1%83%D1%88%D0%BA%D0%BE/1343628387?l=ru","yes","long list","2018"
"Луи Франк","Атлантида","sing52","pop","pop","російська","Zurich, Київ","чоловіча","Закордон","Перекрестки (feat. Дина Корзун & Илья Галушко)","Луи_Франк_Перекрестки.mp3","https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/a3/0c/01/a30c0189-0a5c-c9de-79ae-a1720bad1298/5060268290037.jpg/268x0w.jpg","https://www.facebook.com/louisfranck.official/","https://itunes.apple.com/ua/album/%D0%BB%D1%83%D0%B8-%D1%84%D1%80%D0%B0%D0%BD%D0%BA-%D0%B0%D1%82%D0%BB%D0%B0%D0%BD%D1%82%D0%B8%D0%B4%D0%B0-feat-%D0%B4%D0%B8%D0%BD%D0%B0-%D0%BA%D0%BE%D1%80%D0%B7%D1%83%D0%BD-%D0%B8%D0%BB%D1%8C%D1%8F-%D0%B3%D0%B0%D0%BB%D1%83%D1%88%D0%BA%D0%BE/1343628387?l=ru","yes","long list","2018"
"Луна","Заколдованные сны","sing53","pop","pop","російська","Київ","жіноча","Київ","Спящая красавица","Luna_Спящая_красавица.mp3","https://t2.genius.com/unsafe/300x300/https%3A%2F%2Fimages.genius.com%2Feb6497928c8e7da2cb4d153126410f01.1000x1000x1.jpg","https://www.facebook.com/lunavokne/","https://itunes.apple.com/ua/album/%D0%B7%D0%B0%D0%BA%D0%BE%D0%BB%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5-%D1%81%D0%BD%D1%8B/1439087437?app=music&ign-mpt=uo%3D4","yes","long list","2018"
"Любомир Мельник","Fallen Trees","sing54","","instrumental","немає","Kingston","чоловіча","Закордон","Requiem for a Fallen Tree","Lubomyr_Melnyk_Requiem_for_a_Fallen_Tree.mp3","https://toloka.to/photos/181124075905385484_f0_0.jpg","https://www.facebook.com/melnyk.lubomyr/","https://soundcloud.com/erasedtapes/lubomyr-melnyk-son-of-parasol","yes","long list","2018"
"Псючий Син","ТОРБА","sing55","rap","hip hop & rap","мікс","Калуш","чоловіча","Захід","","","https://f4.bcbits.com/img/a4210461279_16.jpg","https://www.facebook.com/%D0%9F%D1%81%D1%8E%D1%87%D0%B8%D0%B9-%D0%A1%D0%B8%D0%BD-577424929319147","https://soundcloud.com/doggyson235/sets/2018-prod-by-angelo-porter","","long list","2018"
"Руки'в Брюки","Jumpin' & Humpin'","sing56","Rock-n-roll","r&b and soul","англійська","Київ","чоловіча","Київ","Back on the Road Again","RvB_Back_on_the_Road_Again.mp3","https://f4.bcbits.com/img/a1274563867_16.jpg","https://www.facebook.com/rukivbryuki.rvb/?__tn__=K-R&eid=ARAFechcO1tfhUmivdIXlWOCSwLDsPloBpRJGPOED8PfI4PYf7kuFoD0rpZc-RUlWjvY1QPscbB5TVzJ&fref=mentions&__xts__%5b0%5d=68.ARB7T33jP-AvEVpsCN21hixV60nX7XhkqnpJUoqVpeYT3uTpnc5l-aCNHUJ_DbhcEn_KQwXFHftpNCdtbcdX7ZZgXxeCQ_xLn3fS6YD9M84_bLFwPnnLScZcyBtv37SyhnkswkmNCZ3DXV_PiZFIwYvTkLKJo0fs4vj45slK4TJAG3jyB4idQBpMzfsKFY7stpl9rg","https://rukivbryuki.bandcamp.com/album/jumpin-humpin?fbclid=IwAR3X1ykZp9d7yECsifAtKk2-VyhQ2zu3xcN9VzXPodp6QsFHPgsMQqIuQlU","yes","long list","2018"
