"group","album","id","Selfdetermination","style","language","City","sex","region","Название.трека","audio","image","Ссылка.на.группу","listen","isaudio","aprize","year"
"Довгий Пес","#СОЦІАЛЬНИЙАЛКОГОЛІК","sing272","hip hop, rap","hip hop & rap","українська","Львів","чоловіча","Захід","","","https://notatky.com.ua/wp-content/uploads/pes400.jpg","https://www.facebook.com/DovgiyPes","https://soundcloud.com/dovgiypes/sets/sotsalniyalkogolk","","усі альбоми","2018"
"Дрофа","Keep Blossom In Your Head","sing273","hip hop, rap","hip hop & rap","англійська","Київ","чоловіча","Київ","","","https://i1.sndcdn.com/artworks-000296125134-06zcgb-t500x500.jpg","https://www.facebook.com/ddrofa","https://soundcloud.com/ddrofa/sets/keep-blossom-in-your-head-album","","усі альбоми","2018"
"Елена Войнаровская","Метеозависимость","sing274","art-rock","rock","російська","Одеса","жіноча","Південь","","","https://f4.bcbits.com/img/a0638595134_16.jpg","https://www.facebook.com/e.voynarovskaya","https://elena-v.bandcamp.com/album/--4","","усі альбоми","2018"
"Євген Могилевський","Сьома печатка Галілея","sing275","folk funk","ethno","українська","Київ","чоловіча","Київ","","","https://yt3.ggpht.com/a-/AAuE7mCZtjjOhZrQ4rVZUvC7Wofui-X_GnY0gnLvag=s900-mo-c-c0xffffffff-rj-k-no","https://www.facebook.com/evgenmogilevskyi/","https://soundcloud.com/evgenmogylevskyi/sets/y6tuevyzlo6r/s-TIPJm","","усі альбоми","2018"
"Женя і Катя","Літаки","sing276","synthpop, romantik indie","indie","мікс","Вінниця","мікс","Центр","","","https://notatky.com.ua/wp-content/uploads/litaky-400.jpg","https://www.facebook.com/ZhenyaiKatyaOfficial/","https://soundcloud.com/zhenyaikatyaofficial/sets/2018-1","","усі альбоми","2018"
"Змій Львівський","Ц. Є.","sing277","Rap","hip hop & rap","мікс","невідомо, десь закордоном","чоловіча","Закордон","","","https://f4.bcbits.com/img/a2635841894_16.jpg","https://www.facebook.com/aromotherapy","https://aromotherapyrecords.bandcamp.com/album/--10","","усі альбоми","2018"
"Зэ Джозерс","Сложные Машинные Биты","sing278","post-punk","rock","мікс","Калуш","чоловіча","Захід","","","https://i1.sndcdn.com/artworks-000427741497-6dics2-t500x500.jpg","https://www.facebook.com/zejozers/","https://soundcloud.com/zejozers/sets/smb","","усі альбоми","2018"
"Кашляючий Ед","Переклад","sing279","rap","hip hop & rap","українська","Львів","чоловіча","Захід","","","https://i1.sndcdn.com/artworks-000363124155-ewwywb-t500x500.jpg","","https://soundcloud.com/glava94/sets/kashlyayuchiy-ed-pereklad-2018","","усі альбоми","2018"
"Кімната Гретхен","Гравітанці","sing280","indie","pop","українська","Дніпро","чоловіча","Центр","","","https://notatky.com.ua/wp-content/uploads/gravitanzi-400.jpg","https://www.facebook.com/kimnatagrethen.band/","https://soundcloud.com/kimnata-grethen-40590427/sets/gravtants","","усі альбоми","2018"
"Курган & Agregat","С.Ш.Р.","sing281","Hip-Hop/Rap","hip hop & rap","специфічна","Близнюки","чоловіча","Схід","","","https://i.kfs.io/album/global/34508267,0v1/fit/500x500.jpg","","https://itunes.apple.com/ua/album/%D1%81-%D1%88-%D1%80/1377618325?app=itunes&ign-mpt=uo%253D4","","усі альбоми","2018"
"Луи Франк","Атлантида","sing282","pop","pop","російська","Zurich, Київ","чоловіча","Київ","Перекрестки (feat. Дина Корзун & Илья Галушко)","Луи_Франк_Перекрестки.mp3","https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/a3/0c/01/a30c0189-0a5c-c9de-79ae-a1720bad1298/5060268290037.jpg/268x0w.jpg","https://www.facebook.com/louisfranck.official/","https://itunes.apple.com/ua/album/%D0%BB%D1%83%D0%B8-%D1%84%D1%80%D0%B0%D0%BD%D0%BA-%D0%B0%D1%82%D0%BB%D0%B0%D0%BD%D1%82%D0%B8%D0%B4%D0%B0-feat-%D0%B4%D0%B8%D0%BD%D0%B0-%D0%BA%D0%BE%D1%80%D0%B7%D1%83%D0%BD-%D0%B8%D0%BB%D1%8C%D1%8F-%D0%B3%D0%B0%D0%BB%D1%83%D1%88%D0%BA%D0%BE/1343628387?l=ru","yes","усі альбоми","2018"
"Луи Франк","Атлантида","sing283","pop","pop","російська","Zurich, Київ","чоловіча","Закордон","Перекрестки (feat. Дина Корзун & Илья Галушко)","Луи_Франк_Перекрестки.mp3","https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/a3/0c/01/a30c0189-0a5c-c9de-79ae-a1720bad1298/5060268290037.jpg/268x0w.jpg","https://www.facebook.com/louisfranck.official/","https://itunes.apple.com/ua/album/%D0%BB%D1%83%D0%B8-%D1%84%D1%80%D0%B0%D0%BD%D0%BA-%D0%B0%D1%82%D0%BB%D0%B0%D0%BD%D1%82%D0%B8%D0%B4%D0%B0-feat-%D0%B4%D0%B8%D0%BD%D0%B0-%D0%BA%D0%BE%D1%80%D0%B7%D1%83%D0%BD-%D0%B8%D0%BB%D1%8C%D1%8F-%D0%B3%D0%B0%D0%BB%D1%83%D1%88%D0%BA%D0%BE/1343628387?l=ru","yes","усі альбоми","2018"
"Луна","Заколдованные сны","sing284","pop","pop","російська","Київ","жіноча","Київ","Спящая красавица","Luna_Спящая_красавица.mp3","https://t2.genius.com/unsafe/300x300/https%3A%2F%2Fimages.genius.com%2Feb6497928c8e7da2cb4d153126410f01.1000x1000x1.jpg","https://www.facebook.com/lunavokne/","https://itunes.apple.com/ua/album/%D0%B7%D0%B0%D0%BA%D0%BE%D0%BB%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5-%D1%81%D0%BD%D1%8B/1439087437?app=music&ign-mpt=uo%3D4","yes","усі альбоми","2018"
"Любомир Мельник","Fallen Trees","sing285","","instrumental","немає","Kingston","чоловіча","Закордон","Requiem for a Fallen Tree","Lubomyr_Melnyk_Requiem_for_a_Fallen_Tree.mp3","https://toloka.to/photos/181124075905385484_f0_0.jpg","https://www.facebook.com/melnyk.lubomyr/","https://soundcloud.com/erasedtapes/lubomyr-melnyk-son-of-parasol","yes","усі альбоми","2018"
"Мало","Як є","sing286","indie rock","indie","специфічна","Київ","чоловіча","Київ","","","https://notatky.com.ua/wp-content/uploads/malo_3000-1.jpg","https://www.facebook.com/malokyiv/","https://soundcloud.com/malokyiv/sets/yakye","","усі альбоми","2018"
"Микола Макєєв","Бобот та енергія всесвіту","sing287","soundtrack","instrumental","немає","Київ","чоловіча","Київ","","","https://i1.sndcdn.com/artworks-000427464285-e74eja-t500x500.jpg","","https://soundcloud.com/rookodilla/sets/mikola-makv-bobot-ta-energya-vsesvtu-muzika-z-knoflmu","","усі альбоми","2018"
"Миша","Мишtape #1","sing288","Hip-Hop/Rap, R&B","hip hop & rap","російська","Київ","чоловіча","Київ","","","https://e-cdns-images.dzcdn.net/images/cover/a86a5c6ddf3202f418cf9af8bb7b8c86/200x200-000000-80-0-0.jpg","","https://itunes.apple.com/album/1382192940?app=music","","усі альбоми","2018"
"Наталя Мирна","Сильною буду","sing289","Art-pop-dream","pop","мікс","Львів","жіноча","Захід","","","https://toloka.to/photos/1810181213212760_f0_0.jpg","https://www.facebook.com/nmyrna.official/","https://www.youtube.com/watch?v=lqEQITjBG0Q","","усі альбоми","2018"
"Неизвестность.","Хайпаголик 2","sing290","mixtape","hip hop & rap","російська","Київ","чоловіча","Київ","","","https://i1.sndcdn.com/artworks-000337224099-70cl2f-t500x500.jpg","https://www.facebook.com/kyivstonerofficial","https://soundcloud.com/kyivstoner/sets/neizvestnost-kh-banger","","усі альбоми","2018"
"Нумер 482","ДРУ","sing291","pop","rock","українська","Одеса","чоловіча","Південь","","","https://rock.ua/rockdb/i/cd/full/1165-dru.jpg","https://www.facebook.com/numer482/","https://www.deezer.com/en/album/78625912","","усі альбоми","2018"
"Останній Притулок","Кімната","sing292","rock","rock","українська","Київ","чоловіча","Київ","","","https://notatky.com.ua/wp-content/uploads/pritulok-400.jpg","https://www.facebook.com/oprytulok/","https://soundcloud.com/oprytulok/sets/kmnata","","усі альбоми","2018"
"Павел Игнатьев","Колокола души","sing293","modern classic, jazz, improvisations","instrumental","немає","Київ","чоловіча","Київ","","","https://e-cdns-images.dzcdn.net/images/cover/f7517482ae6d904b096fb24fae76128d/500x500.jpg","https://www.facebook.com/PavelIgnatyevPavelIgnatev/","https://itunes.apple.com/us/album/%D0%BA%D0%BE%D0%BB%D0%BE%D0%BA%D0%BE%D0%BB%D0%B0-%D0%B4%D1%83%D1%88%D0%B8/1386186256","","усі альбоми","2018"
"ПИРЯТИН","Атентат","sing294","rock/power country","rock","специфічна","Київ","мікс","Київ","","","https://upload.wikimedia.org/wikipedia/uk/thumb/4/4c/%D0%9F%D0%B8%D1%80%D1%8F%D1%82%D0%B8%D0%BD-%D0%90%D1%82%D0%B5%D0%BD%D1%82%D0%B0%D1%82.png/250px-%D0%9F%D0%B8%D1%80%D1%8F%D1%82%D0%B8%D0%BD-%D0%90%D1%82%D0%B5%D0%BD%D1%82%D0%B0%D1%82.png","https://www.facebook.com/PyryatynGurt/","https://soundcloud.com/pyryatyn/sets/atentat-1","","усі альбоми","2018"
"правила поведения с пьяным мужем","том III","sing295","indie","indie","російська","Львів","чоловіча","Захід","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/q0v-ucixf_g.jpg","","https://soundcloud.com/drunkhusband/sets/pravila-povedeniya-s-pyanym-muzhem-tom-iii","","усі альбоми","2018"
"Псючий Син","ТОРБА","sing296","rap","hip hop & rap","мікс","Калуш","чоловіча","Захід","","","https://f4.bcbits.com/img/a4210461279_16.jpg","https://www.facebook.com/%D0%9F%D1%81%D1%8E%D1%87%D0%B8%D0%B9-%D0%A1%D0%B8%D0%BD-577424929319147","https://soundcloud.com/doggyson235/sets/2018-prod-by-angelo-porter","","усі альбоми","2018"
"Руки'в Брюки","Jumpin' & Humpin'","sing297","Rock-n-roll","r&b and soul","англійська","Київ","чоловіча","Київ","Back on the Road Again","RvB_Back_on_the_Road_Again.mp3","https://f4.bcbits.com/img/a1274563867_16.jpg","https://www.facebook.com/rukivbryuki.rvb/?__tn__=K-R&eid=ARAFechcO1tfhUmivdIXlWOCSwLDsPloBpRJGPOED8PfI4PYf7kuFoD0rpZc-RUlWjvY1QPscbB5TVzJ&fref=mentions&__xts__%5b0%5d=68.ARB7T33jP-AvEVpsCN21hixV60nX7XhkqnpJUoqVpeYT3uTpnc5l-aCNHUJ_DbhcEn_KQwXFHftpNCdtbcdX7ZZgXxeCQ_xLn3fS6YD9M84_bLFwPnnLScZcyBtv37SyhnkswkmNCZ3DXV_PiZFIwYvTkLKJo0fs4vj45slK4TJAG3jyB4idQBpMzfsKFY7stpl9rg","https://rukivbryuki.bandcamp.com/album/jumpin-humpin?fbclid=IwAR3X1ykZp9d7yECsifAtKk2-VyhQ2zu3xcN9VzXPodp6QsFHPgsMQqIuQlU","yes","усі альбоми","2018"
"Сергій Бабкін","Музасфера","sing298","pop","pop","українська","Харків","чоловіча","Схід","","","https://m.clutch.ua/wp-content/uploads/2018/10/39370556_256876758490031_6442726530342124189_n.jpg","https://www.facebook.com/babkin.official/","https://itunes.apple.com/album/id1436122526","","усі альбоми","2018"
"Січгарт","Честь та Кров","sing299","cossaks thrash / death metal","metal","українська","Київ","чоловіча","Київ","","","https://f4.bcbits.com/img/a1427614514_10.jpg","https://www.facebook.com/Sichgart/","https://sichgart.bandcamp.com/album/--2","","усі альбоми","2018"
"СКАЙ","Рідкісні птахи","sing300","","pop","українська","Київ","чоловіча","Київ","","","https://upload.wikimedia.org/wikipedia/uk/thumb/a/aa/%D0%A1%D0%BA%D0%B0%D0%B9_-_%D1%80%D1%96%D0%B4%D0%BA%D1%96%D1%81%D0%BD%D1%96_%D0%BF%D1%82%D0%B0%D1%85%D0%B8.jpg/250px-%D0%A1%D0%BA%D0%B0%D0%B9_-_%D1%80%D1%96%D0%B4%D0%BA%D1%96%D1%81%D0%BD%D1%96_%D0%BF%D1%82%D0%B0%D1%85%D0%B8.jpg","https://www.facebook.com/skaiband/","https://www.youtube.com/playlist?list=PLelAAubckbsfgucClDV5t0fnNy8CU49PH","","усі альбоми","2018"
"СОЮЗ","Это все совсем не то","sing301","avant-pop / krautpop / fake jazz trio / indie","indie","російська","Київ, Minsk","чоловіча","Київ","Офисная","СОЮЗ_Офисная.mp3","https://static.qobuz.com/images/covers/db/uc/uir3j4910ucdb_600.jpg","https://www.facebook.com/gruppasoyuz/","https://soundcloud.com/masterskayalab/sets/soyuz-eto-vse-sovsem-ne-to","yes","усі альбоми","2018"
"СОЮЗ","Это все совсем не то","sing302","avant-pop / krautpop / fake jazz trio / indie","indie","російська","Київ, Minsk","чоловіча","Закордон","Офисная","СОЮЗ_Офисная.mp3","https://static.qobuz.com/images/covers/db/uc/uir3j4910ucdb_600.jpg","https://www.facebook.com/gruppasoyuz/","https://soundcloud.com/masterskayalab/sets/soyuz-eto-vse-sovsem-ne-to","yes","усі альбоми","2018"
"Счастливые люди","Датаизм","sing303","Крипто-поп","indie","російська","Los Angeles, Київ","мікс","Київ","Благая весть","Schastlivye_lyudi_Blagaya_vest.mp3","https://i1.sndcdn.com/artworks-000332906001-q2ay4d-t500x500.jpg","https://www.facebook.com/happyludy/","https://soundcloud.com/masterskayalab/sets/schastlivye-lyudi-dataizm","yes","усі альбоми","2018"
"Счастливые люди","Датаизм","sing304","Крипто-поп","indie","російська","Los Angeles, Київ","мікс","Закордон","Благая весть","Schastlivye_lyudi_Blagaya_vest.mp3","https://i1.sndcdn.com/artworks-000332906001-q2ay4d-t500x500.jpg","https://www.facebook.com/happyludy/","https://soundcloud.com/masterskayalab/sets/schastlivye-lyudi-dataizm","yes","усі альбоми","2018"
"Тартак","АнТАРТАКтида. Частина перша","sing305","hip hop & rap","pop","українська","Луцьк","чоловіча","Захід","","","https://rock.ua/rockdb/i/cd/full/1177-antartaktida_chastina_persha.jpg","https://www.facebook.com/TAPTAK/?ref=py_c","https://itunes.apple.com/sg/album/%D0%B0%D0%BD%D1%82%D0%B0%D1%80%D1%82%D0%B0%D0%BA%D1%82%D0%B8%D0%B4%D0%B0-%D1%87%D0%B0%D1%81%D1%82%D0%B8%D0%BD%D0%B0-%D0%BF%D0%B5%D1%80%D1%88%D0%B0/1444315488","","усі альбоми","2018"
"Тінь сонця","Зачарований Світ","sing306","rock","rock","українська","Київ","чоловіча","Київ","","","https://i1.sndcdn.com/artworks-000432261684-6ljn8e-t500x500.jpg","https://www.facebook.com/tin.sontsya/","https://soundcloud.com/tinsontsya/sets/zacharovanyj-svit?fbclid=IwAR2B6yN4tsIQ9GmH_p1NhaVqKoOEsunze1TTx7YjVziXDp325GfT3kz-KOc","","усі альбоми","2018"
"ТНМК","7","sing307","","hip hop & rap","українська","Харків","чоловіча","Схід","Хоббіт","ТНМК_Хоббіт.mp3","https://notatky.com.ua/wp-content/uploads/tnmk-seven-cover-400.jpg","https://www.facebook.com/TNMKband/?fref=pb&hc_location=profile_browser","https://itunes.apple.com/ru/album/7/1442928820","yes","усі альбоми","2018"
"Фіолет","Aurora","sing308","rock","rock","українська","Київ","чоловіча","Київ","","","https://notatky.com.ua/wp-content/uploads/aurora-400.jpg","https://www.facebook.com/fioletband/","https://soundcloud.com/fioletband/sets/aurora","","усі альбоми","2018"
"Хамерман Знищує Віруси","Лой","sing309","punk,cabaret,synthpop ","avant-garde","мікс","Суми","чоловіча","Північ","","","https://f4.bcbits.com/img/a1869747531_16.jpg","https://www.facebook.com/HZVBAND/","https://h-z-v.bandcamp.com/album/--6","","усі альбоми","2018"
"ХАС","Мегаполіс","sing310","Hip-Hop, RAP","hip hop & rap","українська","Львів","чоловіча","Захід","","","http://notatky.com.ua/wp-content/uploads/has-lp-400.jpg","https://www.facebook.com/13xac/","https://itunes.apple.com/ua/album/%D0%BC%D0%B5%D0%B3%D0%B0%D0%BF%D0%BE%D0%BB%D1%96%D1%81/1377188399","","усі альбоми","2018"
"Христина Соловій","Любий Друг","sing311","Indie Pop","indie","українська","Дрогобич","жіноча","Захід","","","https://toloka.to/photos/181026121543804752_f0_0.jpg","https://www.facebook.com/khrystyna.soloviy","https://soundcloud.com/khrystyna-soloviy/sets/liubyi-druh","","усі альбоми","2018"
"Человек-Животное","Мощи Олдскула","sing312","punk rock","rock","російська","Харків","чоловіча","Схід","","","https://liroom.com.ua/wp-content/uploads/2018/07/image-499x500.jpg","https://www.facebook.com/groups/humananimal/","https://humananimalband.bandcamp.com/album/--2","","усі альбоми","2018"
"Ядерна Могила","DODECAGON","sing313","Hip-Hop/Rap","hip hop & rap","українська","Київ","чоловіча","Київ","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/40619437_2174470662837616_9124433681325228032_n.jpg","https://www.facebook.com/nuclear.grave.044/","https://soundcloud.com/nuclear_grave/sets/dodecagon","","усі альбоми","2018"
"Фіолет","Все чесно","u19_1","","не визначено","укр","Київ","","","","","https://lh3.googleusercontent.com/CHAujjbKKlkPl0qCK2sUskDPJH14eOlerv3Fi6RqpPKP1p2DA1GnE0F0vk-9YbGGk0wNEJAr0CskBpgl=w302-h302-l90-rj","","https://www.youtube.com/embed/OAKFi2eA-SA?autoplay=1&fs=0&iv_load_policy=3&showinfo=0&rel=0&cc_load_policy=0&start=0&end=0&origin=https://youtubeembedcode.com","video","","2019"
"ADAM","Ронім","u19_2","","не визначено","укр","Київ","","","","","https://lh3.googleusercontent.com/zsNwml4fQO6gwX2Itsje4gE5xFysKbn9UC1JdOtMBBnMUZAg4fpNr6EZv12__rOrWdAURgDqXpXGDoW6=w302-h302-l90-rj","","https://www.youtube.com/embed/48PrTU4tS_4?autoplay=1&fs=0&iv_load_policy=3&showinfo=0&rel=0&cc_load_policy=0&start=0&end=0&origin=https://youtubeembedcode.com","video","","2019"
"FrozenGangBeatz","UP NEXT 2","u19_3","","не визначено","рос","Одеса","","","","","https://lh3.googleusercontent.com/SRRxXyvDR1YlGP6Gg0RtF7fIAE24TFx7IM1GPgj5WYQ7ekRoW12L7dfaCTlW4Quc1HU-RcZCh8MvFAfd8w=w302-h302-l90-rj","","https://www.youtube.com/embed/1eUXJu5fXL4?autoplay=1&fs=0&iv_load_policy=3&showinfo=0&rel=0&cc_load_policy=0&start=0&end=0&origin=https://youtubeembedcode.com","video","","2019"
"Foa Hoka & Cybermonk","Music Du Monde Fou","u19_4","","не визначено","-","Чернігів","","","","","img/covers19/a0151322287_16.jpg","","https://bandcamp.com/EmbeddedPlayer/album=2353123237/size=large/bgcol=ffffff/linkcol=0687f5/minimal=true/track=1394610364/transparent=true/","","","2019"
"Gamardah Fungus","NATURAL STORM","u19_5","","не визначено","-","Дніпро","","","","","https://lh3.googleusercontent.com/Giz7kgU1UYAQ4-XftCFOXKzdtD1BQ_JrtqRFDqCEsNI24kvfPsbTWzLnba65bRR9X7IhJz-TgDcvpEQ=w302-h302-l90-rj","","https://www.youtube.com/embed/1KVehVIUWQQ?autoplay=1&fs=0&iv_load_policy=3&showinfo=0&rel=0&cc_load_policy=0&start=0&end=0&origin=https://youtubeembedcode.com","video","","2019"
"Gentle Ropes","Consolation","u19_6","","не визначено","eng","Київ","","","","","img/covers19/a1713856265_16.jpg","","https://bandcamp.com/EmbeddedPlayer/album=1741657681/size=large/bgcol=ffffff/linkcol=0687f5/minimal=true/track=1940416887/transparent=true/","","","2019"
"Luna","Luna","u19_7","","не визначено","-","Київ","","","","","img/covers19/a0283492274_16.jpg","","https://bandcamp.com/EmbeddedPlayer/album=2957915700/size=large/bgcol=ffffff/linkcol=0687f5/minimal=true/track=771506636/transparent=true/","","","2019"
"Alina Pash","PINTEA:MISTO","u19_8","","не визначено","укр","Київ","","","","","https://lh3.googleusercontent.com/ZjZDdq4cJM9-Qm6IGFSR1IUR7EIzf4ijlsyxDtRMiWw02fd0_WQy0ofYNEm1AXTqdQGb5zvE0ZRMVCP_iw=w302-h302-l90-rj","","https://www.youtube.com/embed/b9AtfZj7fKk?autoplay=1&fs=0&iv_load_policy=3&showinfo=0&rel=0&cc_load_policy=0&start=0&end=0&origin=https://youtubeembedcode.com","video","","2019"
"Alina Pash","ПИНТЯ:ГОРИ","u19_9","","не визначено","укр","Київ","","","","","https://lh3.googleusercontent.com/EJy941euVrIHvwTam1NfcGfAB5jCr9ty4XZXLq7Oqr92B7QYjFeEN7b8Ffy3dgcymLFETDlr31SOk7J7=w302-h302-l90-rj","","https://www.youtube.com/embed/lFFCbN49jG0?autoplay=1&fs=0&iv_load_policy=3&showinfo=0&rel=0&cc_load_policy=0&start=0&end=0&origin=https://youtubeembedcode.com","video","","2019"
"Goncharova Project (Гончарова Проджект)","Небо співає мені","u19_10","","не визначено","укр","Київ","","","","","https://lh3.googleusercontent.com/T5T9mgveYSXSlDo-vFMbXSnSxS-fZ5oa6jhQg0vtj6bXCScZh55RXjgPJmkyl74w8B08kl6JfaGX2HQ=w302-h302-l90-rj","","https://www.youtube.com/embed/IP2Vz7FVbKo?autoplay=1&fs=0&iv_load_policy=3&showinfo=0&rel=0&cc_load_policy=0&start=0&end=0&origin=https://youtubeembedcode.com","video","","2019"
"dorydory","Love Season","u19_11","","не визначено","рос","Харків","","","","","https://lh3.googleusercontent.com/5Lil0--UNMhmp-ARoOA5Mr7JRKZ7LDmS7Jgqy26VDs_uRAoEfMOhv9LhcV5vwCtH5Yj8-e03hxpwFw4Rag=w302-h302-l90-rj","","https://www.youtube.com/embed/yWOj4V76BiM?autoplay=1&fs=0&iv_load_policy=3&showinfo=0&rel=0&cc_load_policy=0&start=0&end=0&origin=https://youtubeembedcode.com","video","","2019"
"Amphibian Man","Metal Goes Surf","u19_12","","не визначено","-","Київ","","","","","img/covers19/a3734443042_16.jpg","","https://bandcamp.com/EmbeddedPlayer/album=2941950285/size=large/bgcol=ffffff/linkcol=0687f5/minimal=true/track=1956495757/transparent=true/","","","2019"
"Amphibian Man","Shapes (Side A)","u19_13","","не визначено","-","Київ","","","","","https://lh3.googleusercontent.com/XFvNXdB0QS2JdQu09Wp7_mZOBbqfJubBqex0WDEOjKBDJSsIksKu6pJA6tF5PKAWAU7fdQqnKgktsrzX=w302-h302-l90-rj","","https://www.youtube.com/embed/TEML4wYeZAA?autoplay=1&fs=0&iv_load_policy=3&showinfo=0&rel=0&cc_load_policy=0&start=0&end=0&origin=https://youtubeembedcode.com","video","","2019"
"FrozenGangBeatz","UP NEXT","u19_14","","не визначено","рос","Одеса","","","","","https://lh3.googleusercontent.com/VftvSpOwrEgnRlsAsEP8mA-9cSrbmJ9bD8kRTYaJzXsgsgxkuEl5pTwAEIN0cLw8hPrNZ3-gwJDVnW4-=w302-h302-l90-rj","","https://www.youtube.com/embed/ZwmxC5UenGQ?autoplay=1&fs=0&iv_load_policy=3&showinfo=0&rel=0&cc_load_policy=0&start=0&end=0&origin=https://youtubeembedcode.com","video","","2019"
"Anabios & Warwar ","Samhain Slaughter split","u19_15","","не визначено","?","Київ","","","","","img/covers19/a0324630622_10.jpg","","https://bandcamp.com/EmbeddedPlayer/album=4053158613/size=large/bgcol=ffffff/linkcol=0687f5/minimal=true/track=4162361497/transparent=true/","","","2019"
"Andrii Kozyra","Mindfields","u19_16","","не визначено","-","Київ","","","","","https://lh3.googleusercontent.com/rpXAaljwpYcz87dimueqGGFU_SERkapMg2W1Fu70CJNt_JdOijULS0mR_uBXJeA4CvBSr5wcjr9-oi1O=w302-h302-l90-rj","","https://www.youtube.com/embed/JPUfz-u31_A?autoplay=1&fs=0&iv_load_policy=3&showinfo=0&rel=0&cc_load_policy=0&start=0&end=0&origin=https://youtubeembedcode.com","video","","2019"
"Angered Crowd","Morbid Signs","u19_17","","не визначено","?","Київ","","","","","https://lh3.googleusercontent.com/AOpx7qXnGyub9BRPwrlkNRuZuNMY3v_jsJWFeJGLqcCgPiI3P9fmUKz5uczHtrOEUpHG0xPYgKCqDEc=w302-h302-l90-rj","","https://www.youtube.com/embed/9inljLqif4E?autoplay=1&fs=0&iv_load_policy=3&showinfo=0&rel=0&cc_load_policy=0&start=0&end=0&origin=https://youtubeembedcode.com","video","","2019"
"Anmasker","How Much Is Your Mask?","u19_18","","не визначено","?","Запоріжжя","","","","","https://lh3.googleusercontent.com/KzO6KBFzMBEfUlW4zoDWS7QHlwU9zgS593i54Xym2dosIQUr3PbhF7QfigLH0H5_UCsJ_uVoF0nQrkI=w302-h302-l90-rj","","https://www.youtube.com/embed/HDPvaUyVpq0?autoplay=1&fs=0&iv_load_policy=3&showinfo=0&rel=0&cc_load_policy=0&start=0&end=0&origin=https://youtubeembedcode.com","video","","2019"
"Anna Mia","Afro Blue","u19_19","","не визначено","eng","Київ","","","","","https://lh3.googleusercontent.com/wDroawf5YpxkPRIwlXM1k6cSr6Coeg2GTf6-py9iilzEFvPC90KBPNO2XT7gSDnlKgCiK-ZdeOHzU72U=w302-h302-l90-rj","","https://www.youtube.com/embed/VFGVSvrVTPg?autoplay=1&fs=0&iv_load_policy=3&showinfo=0&rel=0&cc_load_policy=0&start=0&end=0&origin=https://youtubeembedcode.com","video","","2019"
"German / Герман","Глянцевые Сёстры","u19_20","","не визначено","рос","Київ","","","","","https://lh3.googleusercontent.com/6cYbeDW_Qc1liCVnqkFNcUZDhDKyacWdaZcuELWji53PnPWPYSXMimE7OAIaFU26Ix1vjdzRuRe-l3Q_VQ=w302-h302-l90-rj","","https://www.youtube.com/embed/Deoka4uEjlY?autoplay=1&fs=0&iv_load_policy=3&showinfo=0&rel=0&cc_load_policy=0&start=0&end=0&origin=https://youtubeembedcode.com","video","","2019"
"TARUSOVA","Сегодня ночью","u19_21","","не визначено","рос","Київ","","","","","img/covers19/tarusova.png","","https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/661889816&color=%23ff5500&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true","video","","2019"
"HITSYOURSELF","Agios Petros","u19_22","","не визначено","-","Thessaloniki","","","","","https://lh3.googleusercontent.com/RXihOzht-FAZUsvfNb5R8oJC23PPfgbwo0MIBn_i8XUIxJ02HvV3e_hPRmm2dK6ghibDVCETDNVkWpHM=w302-h302-l90-rj","","https://www.youtube.com/embed/LtkFdzoN3vs?autoplay=1&fs=0&iv_load_policy=3&showinfo=0&rel=0&cc_load_policy=0&start=0&end=0&origin=https://youtubeembedcode.com","video","","2019"
"HITSYOURSELF","Koudounoforoi","u19_23","","не визначено","-","Thessaloniki","","","","","https://lh3.googleusercontent.com/dLuQUE-ghu8FBtw2OJO7N_ey7bdpZGGYCjm9TCwk0d6jsln6CIso1-PR01XY8Hw45UDnC28gZnnoErw2=w302-h302-l90-rj","","https://www.youtube.com/embed/DqWnF_TS9Xg?autoplay=1&fs=0&iv_load_policy=3&showinfo=0&rel=0&cc_load_policy=0&start=0&end=0&origin=https://youtubeembedcode.com","video","","2019"
"Room 99","Jupiter","u19_24","","не визначено","-","Київ","","","","","https://lh3.googleusercontent.com/isI95082KrqcOt3qyiE_k-b1z_QdQ-ilWgJs5XdzdqUQLjJlaI98tA733kjN7ZW79B7l7qPTp7JtonE9=w302-h302-l90-rj","","https://www.youtube.com/embed/2AvZQQxFIDo?autoplay=1&fs=0&iv_load_policy=3&showinfo=0&rel=0&cc_load_policy=0&start=0&end=0&origin=https://youtubeembedcode.com","video","","2019"
"Artem Bemba","Agalma","u19_25","","не визначено","-","Львів","","","","","https://lh3.googleusercontent.com/MZyDNVfGUOvM3_u_OvGjI5xGvLZ_n3BeO0PPnDLk2bHVcoPGmydpZLa-aim6r8ABqgRL9MFe0UldiO9u=w302-h302-l90-rj","","https://www.youtube.com/embed/MHAWWDNlp0Y?autoplay=1&fs=0&iv_load_policy=3&showinfo=0&rel=0&cc_load_policy=0&start=0&end=0&origin=https://youtubeembedcode.com","video","","2019"
