"group","album","id","First_.lp._release","release_date","month","Selfdetermination","style","language","language_2nd","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","City","sex","region","longList","shortList","Название.трека","audio","image","ID.на.сайту.Аристократов","Ссылка.на.группу","listen","isaudio","aprize"
"Max Tovstyi","Mesmerize","sing170","","21.05.2019","may","blues/progressive rock","rock","англійська","","*","","*","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","https://i4.cdn.hhv.de/catalog/475x475/00609/609504.jpg",20252,"https://www.facebook.com/maxtovstyi?hc_ref=ARSQaOuirVUVZNTd5LfkQga6mOOO0KxWN2EmFEtS8qoGgiB1T9DlWX2Cs4YixL1wHDo&fref=nf&post_id=1961341663886014&__tn__=CH-R","https://maxtovstyi.bandcamp.com/album/mesmerize","","усі альбоми"
"Mizantropia","Out of mind","sing171","","31.08.2019","aug","extreme gothic/dark metal","metal","англійська","","*","","","*","*","","*","*","Запоріжжя","мікс","Південь",NA,NA,"","","http://www.dailymetal.com.ua/wp-content/uploads/2018/10/ivV4pOGhKJ4-1024x1024.jpg",20397,"https://www.facebook.com/Mizantropia-130594892316/","https://www.youtube.com/watch?v=NkdNIV3DLQg","","усі альбоми"
"Monotronique","Heat Absorber","sing172","*","07.11.2019","nov","Electronica","electronic","немає","","*","*","*","*","*","*","*","*","Харків","чоловіча","Схід",NA,NA,"","","https://f4.bcbits.com/img/a4105798008_10.jpg",20377,"https://www.facebook.com/monotroniquebeats/","https://soundcloud.com/monotronique/sets/monotronique-heat-absorber?fbclid=IwAR3-nnGUrPsyt3x6pI1xQc_J_7jQFxbXLgpVJTtunn6AxXEWIfHwJrIJ9TQ","","усі альбоми"
"MOONZOO","Sad Dance","sing173","*","12.11.2019","nov","electronic","electronic","англійська","","*","*","","*","*","*","*","*","Львів","чоловіча","Захід",NA,NA,"","","https://www.neformat.com.ua/images/imagecache/material_680w/news/46146061_313897185873503_4655654766867644416_n.jpg",20253,"https://www.facebook.com/moonzooband/","https://soundcloud.com/moonzooband/sets/moonzoo-sad-dance","","усі альбоми"
"Mountain Breeze","Say It Loud","sing174","*","04.05.2019","may","Pop/Rock","pop","англійська","","*","","","*","*","*","*","*","Полтава","чоловіча","Центр",NA,NA,"","","https://t2.genius.com/unsafe/220x220/https%3A%2F%2Fimages.genius.com%2F1cc7b0cf39218dc30aaf1e38d33633ca.1000x1000x1.jpg",20254,"https://www.facebook.com/mbreezeofficial","https://itunes.apple.com/ua/album/say-it-loud/1374217165?app=itunes&ign-mpt=uo%3D4","","усі альбоми"
"Natalka Karpa","Сонцезалежна","sing175","","20.07.2019","jul","Pop/Rock","pop","мікс","eng","*","","","*","*","*","*","*","Львів","жіноча","Захід",NA,NA,"","","https://images.shazam.com/coverart/t318405252-b1413341385_s400.jpg",20256,"https://www.facebook.com/natalkakarpa/","https://itunes.apple.com/us/album/%D1%81%D0%BE%D0%BD%D1%86%D0%B5%D0%B7%D0%B0%D0%BB%D0%B5%D0%B6%D0%BD%D0%B0/1413340112","","усі альбоми"
"Need Some Air","Generation","sing176","*","04.05.2019","may","Rock","rock","англійська","","*","","","*","*","","*","*","Херсон","чоловіча","Південь",NA,NA,"","","http://moon.ua/uploads/images/news/219/1525424480.jpg",20255,"https://www.facebook.com/nsaone","https://itunes.apple.com/ua/album/generation/1375986921?app=itunes&ign-mpt=uo%3D4","","усі альбоми"
"Nemo 322","Х.Л.А.М.","sing177","","19.12.2019","dec","hip hop, rap","hip hop & rap","українська","","*","*","","*","*","*","*","","Львів","чоловіча","Захід",NA,NA,"","","http://cdbaby.name/t/i/tialb01508847_large.jpg?v=7ba0a096-1c3f-4ea5-b03a-80d04599bcbe",20363,"https://www.facebook.com/nemo322official/","https://soundcloud.com/nemo322/sets/nemo322-hlam/s-abeRB?fbclid=IwAR2CluKrZ0kneqPQq1m30jrUJ3kiWJSQSqUu7_CrXv9-cuikm2IAfP3Za-s","","усі альбоми"
"N.G.L.","Новий рівень гри","sing178","*","30.09.2019","sep","dance electronic & hard core","rock","українська","","","*","","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","http://mhz.kiev.ua/mp3/NGL/2018%20-%20Novy%20riven%20gry/cd_b.jpg",20259,"https://www.facebook.com/N.G.L.band/?eid=ARBhKqo3DyqHVtYG3nsVRGPcTbNnUZoHTU2wmgNyzEMON6mVwnkqXfQd_juU0MBaEZEsD4srs5pzuNPT","https://www.youtube.com/playlist?list=OLAK5uy_nb0qhRaJHeNV__dGxtHYLwwUCaOqCpKtg","","усі альбоми"
"Nine Hills","TULPA","sing179","*","18.03.2019","mar","","metal","російська","","","*","*","","","","","","Харків","чоловіча","Схід",NA,NA,"","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a0744791108_10.jpg",20391,"","https://ninehills.bandcamp.com/album/tulpa","","усі альбоми"
"NK","No Komments","sing180","*","12.10.2019","oct","pop","pop","мікс","укр","*","","","*","*","*","*","*","Київ","жіноча","Київ",NA,NA,"","","https://avatars.yandex.net/get-music-content/119639/27c4e489.a.5807964-1/m1000x1000",20258,"https://www.facebook.com/nastya.kamenskux","https://itunes.apple.com/ru/album/no-komments/1437532085?ign-mpt=uo%3D2","","усі альбоми"
"Nooit","OA​-​I","sing181","*","13.03.2019","mar","noise","avant-garde","немає","","","","*","","","","*","","","інша","інший",NA,NA,"","","https://f4.bcbits.com/img/a0177753652_10.jpg",20413,"","https://nooit.bandcamp.com/album/oa-i","","усі альбоми"
"Novi","Залишатися справжнім","sing182","*","19.04.2019","apr","","pop","мікс","eng, рос","*","","","*","*","*","*","*","Київ","мікс","Київ",NA,NA,"","","https://rock.ua/rockdb/i/cd/full/1074-zalishatisya_spravjnim.jpg",20257,"https://www.facebook.com/novibandua","https://www.deezer.com/ru/album/61361122","","усі альбоми"
"Numero Nero","Late","sing183","*","09.10.2019","oct","Fast and emotional punk rock band","rock","англійська","","*","*","*","*","*","*","*","*","Запоріжжя","чоловіча","Південь",NA,NA,"","","https://f4.bcbits.com/img/a3072026893_10.jpg",20390,"https://www.facebook.com/zpnumero/","https://numeronero.bandcamp.com/album/late","","усі альбоми"
"One Planet Orchestra","Саме той час!","sing184","*","04.05.2019","may","","indie","українська","","*","*","","*","*","*","*","*","Київ","мікс","Київ",NA,NA,"","","http://www.nahati.com.ua/wp-content/uploads/2018/02/One_Planet_Orchestra_Na-Hati-Records-s-300x300.jpg.pagespeed.ce.r2NZ2Ldx1l.jpg",20260,"https://www.facebook.com/oneplanetorchestra/","https://soundcloud.com/oneplanetorchestra?fbclid=IwAR37oUU8znRK9LpUmWBC_BBNhpKPr89NamYcrN1alZg02GU1uBoIjAwKPFs","","усі альбоми"
"ONUKA","MOZAЇKA","sing185","","22.03.2019","mar","electronic","electronic","мікс","eng","*","*","","*","*","*","*","*","Київ","мікс","Київ",1,1,"ANIMAL","Onuka_ANIMAL.mp3","https://i1.sndcdn.com/artworks-000321441057-5qvvj7-t500x500.jpg",20261,"https://www.facebook.com/onuka.official/","https://soundcloud.com/onukaofficial/sets/onuka-mozaika","yes","усі альбоми"
"Orest Filipov","Unseen World","sing186","*","25.02","feb","Jazz","jazz","немає","","*","","*","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","https://f4.bcbits.com/img/a2519370656_16.jpg",20262,"https://www.facebook.com/ForrestFilipps/","https://fancymusic.bandcamp.com/album/unseen-world","","усі альбоми"
"Orpha","Orpha","sing187","*","14.08.2019","aug","Post-hardcore","rock","англійська","","*","","*","*","","","","*","Київ","чоловіча","Київ",NA,NA,"","","https://f4.bcbits.com/img/a1791881131_16.jpg",20263,"https://www.facebook.com/orphakyiv/","https://orpha.bandcamp.com/album/orpha","","усі альбоми"
"OwlCraft","Enigmatic Dissolution","sing188","","08.01.2019","jan","Metal","metal","англійська","","","","*","","","","*","","Черкаси","чоловіча","Центр",NA,NA,"","","https://f4.bcbits.com/img/a3033304323_16.jpg",20264,"https://www.facebook.com/owlkvlt/","https://owlcraftmusic.bandcamp.com/album/enigmatic-dissolution-lp-2018","","усі альбоми"
"Palmo X","A.T.C.W.","sing189","*","18.02","feb","Electronic, Pop, Synth","electronic","мікс","укр","*","*","*","*","*","*","*","*","Львів","жіноча","Захід",NA,NA,"","","https://i1.sndcdn.com/artworks-000305075274-sjtp39-t500x500.jpg",20265,"https://www.facebook.com/palmoxmusic","https://soundcloud.com/palmo_x/sets/palmo-x-a-t-c-w-album","","усі альбоми"
"Paul Montero","I GIVE YOU MY","sing190","*","26.10.2019","oct","pop","pop","англійська","","*","*","","*","*","*","*","*","Дніпро","чоловіча","Центр",NA,NA,"","","https://i1.sndcdn.com/avatars-000525769635-2c3b4t-t500x500.jpg",20266,"https://www.facebook.com/MonteroSinger/","https://soundcloud.com/paul_montero","","усі альбоми"
"PIANO","Знаки","sing191","*","30.04.2019","apr","indie","indie","українська","","*","*","","*","","","*","*","Львів","мікс","Захід",NA,NA,"","","https://i1.sndcdn.com/artworks-000345125646-6vuezx-t500x500.jpg",20267,"https://www.facebook.com/lvivpianoband","https://soundcloud.com/piano-band-1/sets/piano-1","","усі альбоми"
"Postman","Everything is New","sing192","","09.07","jul","indie folk","country","мікс","укр","*","*","","*","*","*","*","*","Київ","чоловіча","Київ",1,NA,"Like a Child","Postman_Like_a_Child.mp3","https://img.the-village.com.ua/the-village.com.ua/post_image-image/LuxoslUMWVhsFs1mleTjGw-article.jpg",20268,"https://www.facebook.com/postmansings/","https://soundcloud.com/postmanplays/sets/everything-is-new-lp-2018","yes","усі альбоми"
"Pree Tone","Kiddy","sing193","*","19.08.2019","aug","nosie rock, shoegaze","rock","англійська","","*","*","*","*","*","","*","","Київ","чоловіча","Київ",NA,NA,"","","https://f4.bcbits.com/img/a1770073286_10.jpg",20269,"https://www.facebook.com/preetone","https://preetone.bandcamp.com/album/kiddy","","усі альбоми"
"PRID PROD","Приехали","sing194","","11.05.2019","may","rap","hip hop & rap","мікс","укр, рос","","","*","*","*","","*","*","Херсон","чоловіча","Південь",NA,NA,"","","https://f4.bcbits.com/img/a2906749580_10.jpg",20404,"https://www.facebook.com/pridprodpage/","https://suckpuckrecordz.bandcamp.com/album/lp","","усі альбоми"
"protoU","Echoes of the Future","sing195","","28.08.2019","aug","Drone","avant-garde","немає","","*","*","*","*","*","","*","*","Київ","жіноча","Київ",NA,NA,NA,NA,"https://f4.bcbits.com/img/a3049659111_10.jpg?fbclid=IwAR2AtxocFWsrXGPtkPzrm1jaCCa3T6oFLuZe3KDP_nKKmc6WHtHUak5412I",NA,NA,NA,NA,"усі альбоми"
"Pulatova","Рой","sing196","*","29.09.2019","sep","rock","rock","російська","","*","*","*","*","*","*","*","*","Одеса","мікс","Південь",NA,NA,"","","https://f4.bcbits.com/img/a1206735480_16.jpg",20270,"https://www.facebook.com/pulatova.music/","https://soundcloud.com/pulatova/sets/roy","","усі альбоми"
"Quiet Observer","Blocks of life","sing197","","14.10.2019","oct","‪‎progressive metal‬","rock","немає","","","","*","","","","","","Ужгород","чоловіча","Захід",NA,NA,"","","https://f4.bcbits.com/img/a3161331562_16.jpg",20271,"","https://parallelsynchronizedrandomness.bandcamp.com/album/blocks-of-life","","усі альбоми"
"RapeKit","ClitCult","sing198","*","13.03.2019","mar","porn-grind, downtuned punk","rock","немає","","","*","*","","","","*","","Київ","чоловіча","Київ",NA,NA,"","","https://f4.bcbits.com/img/a3322433597_16.jpg",20415,"https://www.facebook.com/RapeKit-porn-grind-band-460664343958290/","https://rapekit.bandcamp.com/album/clitcult","","усі альбоми"
"Raventale","Pathogenesis","sing199","","01.10.2019","oct","Atmospheric Black Metal","metal","англійська","","","","*","","","","*","","Київ","чоловіча","Київ",NA,NA,"","","https://f4.bcbits.com/img/a0783647610_10.jpg",20272,"https://www.facebook.com/raventaleofficial/","https://raventale.bandcamp.com/?fbclid=IwAR38rALwxJSvVs6PSqheUydqFO9nJ74o9Rm391pd15y-jpQX3FVDBSUDE5c","","усі альбоми"
"Refinders","Skin Effect","sing200","*","22.06.2019","jun","sinty pop, electronic","electronic","англійська","","*","*","","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/_23_0.jpg",20273,"https://www.facebook.com/refindersband.official/","https://itunes.apple.com/ua/album/skin-effect/1400968018?app=music&ign-mpt=uo%3D4","","усі альбоми"
"Relict Trauma","r∅t∅ release","sing201","*","04.03.2019","mar","non-correlationist noise","avant-garde","немає","","","","*","","","","","","Чернігів / Київ","чоловіча","Північ",NA,NA,"","","https://f4.bcbits.com/img/a3890321513_16.jpg",20393,"https://www.facebook.com/traumaoflifenoise","https://relicttrauma.bandcamp.com/album/r-t-release-official-album-record-01","","усі альбоми"
"Relict Trauma","r∅t∅ release","sing202","*","04.03.2019","mar","non-correlationist noise","avant-garde","немає","","","","*","","","","","","Чернігів / Київ","чоловіча","Північ",NA,NA,"","","https://f4.bcbits.com/img/a3890321513_16.jpg",20393,"https://www.facebook.com/traumaoflifenoise","https://relicttrauma.bandcamp.com/album/r-t-release-official-album-record-01","","усі альбоми"
"Relict Trauma","under the Yellow sign","sing203","","27.06.2019","jun","non-correlationist noise","avant-garde","немає","","","","*","","","","","","Чернігів / Київ","чоловіча","Північ",NA,NA,"","","https://f4.bcbits.com/img/a0117315995_16.jpg",20406,"https://www.facebook.com/traumaoflifenoise","https://relicttrauma.bandcamp.com/album/under-the-yellow-sign","","усі альбоми"
"Relict Trauma","under the Yellow sign","sing204","","27.06.2019","jun","non-correlationist noise","avant-garde","немає","","","","*","","","","","","Чернігів / Київ","чоловіча","Північ",NA,NA,"","","https://f4.bcbits.com/img/a0117315995_16.jpg",20406,"https://www.facebook.com/traumaoflifenoise","https://relicttrauma.bandcamp.com/album/under-the-yellow-sign","","усі альбоми"
"RESOLVENTA","Окаянные дни","sing205","*","22.09.2019","sep","dark hardcore, crust","rock","російська","","","","*","","","","*","","Київ","чоловіча","Київ",NA,NA,"","","https://f4.bcbits.com/img/a0840881808_10.jpg",20396,"https://www.facebook.com/resolventaband/","https://resolventa.bandcamp.com/album/-","","усі альбоми"
"Reve ta Stohne","Mythologia","sing206","*","13.02","feb","grunge/folk","avant-garde","українська","","*","*","","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","https://toloka.to/photos/180303201302195321_f0_0.jpg",20274,"https://www.facebook.com/revetastohne/","https://soundcloud.com/reve-ta-stohne/sets/mythologia","","усі альбоми"
"Riya","Ейфорія","sing207","","18.09.2019","sep","pop","pop","українська","","*","","","*","*","*","*","*","Київ","жіноча","Київ",NA,NA,"","","https://toloka.to/photos/180919123223804752_f0_0.jpg",20275,"https://www.facebook.com/riyamusic/","https://itunes.apple.com/ua/album/%D0%B5%D0%B9%D1%84%D0%BE%D1%80%D1%96%D1%8F/1436616004?l=ru&fbclid=IwAR2GlcQLT4VTLjkvlcCOhv0jXUeQGeLMdtPrSMEEU18ECcsVNpxoeOJKLvE","","усі альбоми"
"Rostyslav Voitko","Above the Crowd","sing208","*","09.11.2019","nov","Jazz","jazz","немає","","*","","","*","*","*","","","Вінниця","чоловіча","Центр",NA,NA,"","","https://i.scdn.co/image/1e4071542a4889c420fa61e4bf8e6d3d9cf26585",20276,"","https://itunes.apple.com/ca/album/above-the-crowd/1441802621?fbclid=IwAR1K1ddUAyp9_U2Wqf0nAby3elG-WGZYChSiYd8rFKijGnWvTox2BaT2nzA","","усі альбоми"
"r.roo","Delicate reflex part 3","sing209","","31.07.2019","jul","electronic","electronic","російська","","*","","*","*","*","*","*","*","Київ","чоловіча","Київ",1,NA,"Incident with the Man Who Carries a Case","R.roo_Incident_with_the_Man_Who_Carries_a_Case.mp3","https://f4.bcbits.com/img/a1227643159_10.jpg",20370,"https://www.facebook.com/rroo.idm/","https://rroo.bandcamp.com/album/delicate-reflex-part-3","yes","усі альбоми"
"Satisfaction","Satisfaction, Vol. 1","sing210","","26.08.2019","aug","Rock","rock","російська","","*","","","*","*","","*","*","","чоловіча","інший",NA,NA,"","","https://direct.rhapsody.com/imageserver/images/Alb.327823827/500x500.jpg",20277,"","https://itunes.apple.com/us/album/satisfaction-vol-1/1435528055","","усі альбоми"
"Sectorial","VYR","sing211","","09.11.2019","nov","Blackened Death Metal, Ethnic","metal","українська","","*","","*","*","*","*","*","*","Боярка","чоловіча","Північ",NA,NA,"","","https://noizr.com/files/page/20/5bc793888b6671.jpg",20278,"https://www.facebook.com/sectorialUA/","https://sectorial.bandcamp.com/?fbclid=IwAR0LNfu7BBw9WclwF6w-VvW1aECF-JBOi3cCGpQnTF6GytmXVn9D-nETIW8","","усі альбоми"
"Sex Blender","Hormonizer","sing212","*","20.04.2019","apr","Psychedelic, Stoner,","rock","немає","","*","*","*","*","*","*","*","*","Львів","чоловіча","Захід",NA,NA,"","","https://f4.bcbits.com/img/a3591851549_16.jpg",20279,"https://www.facebook.com/sexblender/","https://sexblender.bandcamp.com/album/hormonizer","","усі альбоми"
"SHCOLA","Naїve","sing213","*","04.02","feb","dark pop","rock","англійська","","","*","","","","","*","","Київ","чоловіча","Київ",NA,NA,"","","https://rock.ua/rockdb/i/cd/full/1033-naive.jpg",20381,"https://www.facebook.com/shcolaband/","https://soundcloud.com/shcola/sets/na-ve-2018","","усі альбоми"
"Sheetel","Mr. White","sing214","*","21.11.2019","nov","","rock","немає","","*","*","","","*","*","*","","Київ","чоловіча","Київ",NA,NA,"","","https://images-na.ssl-images-amazon.com/images/I/51biICauOAL._SS500.jpg",20371,"https://www.facebook.com/sheetelmusic/","https://itunes.apple.com/ua/album/mr-white/1444828919?l=uk","","усі альбоми"
"Sherpa the Tiger","Great Vowel Shift","sing215","*","18.05.2019","may","krautrock/ambient","electronic","немає","","*","*","*","*","*","*","*","*","Львів","чоловіча","Захід",NA,NA,"","","https://f4.bcbits.com/img/a0609264172_10.jpg",20280,"https://www.facebook.com/sherpathetiger/","https://itunes.apple.com/ua/album/great-vowel-shift/1384971356?app=music&ign-mpt=uo%3D4","","усі альбоми"
"SINOPTIK","Fields On Fire","sing216","","10.04.2019","apr","metal","rock","англійська","","*","","*","*","*","*","*","*","Донецьк","чоловіча","Схід",NA,NA,"","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a1160045063_10.jpg",20281,"https://www.facebook.com/SinoptikBand","https://soundcloud.com/sinoptik_band/sets/fof","","усі альбоми"
"Sleep in Heads","On the Air","sing217","*","01.03.2019","mar","Progressive metal","metal","англійська","","*","","*","*","*","*","*","*","Київ","мікс","Київ",NA,NA,"","","http://www.dailymetal.com.ua/wp-content/uploads/2018/03/Sleep_In_Heads_cover.jpg",20375,"https://www.facebook.com/sleepinheads/","https://sleepinheads.bandcamp.com/","","усі альбоми"
"Small Depo","ДЕБИЛЬНЫЙ","sing218","","14.09.2019","sep","post-punk","rock","російська","","*","*","*","*","*","*","*","","Київ","мікс","Київ",NA,NA,"","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a1501599158_10.jpg",20282,"https://www.facebook.com/smalldepo","https://soundcloud.com/smalldepo/sets/debilniy/s-2ID9c","","усі альбоми"
"soda 9000","Скажи ей пусть послушает","sing219","*","01.11.2019","nov","rap","hip hop & rap","російська","","*","","*","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","https://ar.toneden.io/22331033/1cc4a2ae-50f3-4d7a-aa1e-6f4943812939",20283,"","https://itunes.apple.com/ru/album/%D1%81%D0%BA%D0%B0%D0%B6%D0%B8-%D0%B5%D0%B9-%D0%BF%D1%83%D1%81%D1%82%D1%8C-%D0%BF%D0%BE%D1%81%D0%BB%D1%83%D1%88%D0%B0%D0%B5%D1%82/1440171296","","усі альбоми"
"Somali Yacht Club","The Sea","sing220","","22.01.2019","jan","rock","rock","англійська","","*","","*","*","*","*","*","*","Львів","чоловіча","Захід",NA,NA,"","","https://f4.bcbits.com/img/a1537465582_16.jpg",20284,"https://www.facebook.com/Somaliyachtclub/","https://robustfellow.bandcamp.com/album/the-sea","","усі альбоми"
"Soom","Djebars","sing221","","20.04.2019","apr","RAVE DOOOM","avant-garde","українська","","*","","*","*","*","","*","*","Харків","чоловіча","Схід",NA,NA,"","","https://cdn.mp3xa.pw/proxy-static/pp.userapi.com/c845418/v845418587/6b42e/P6VhkBfre4E.jpg",20285,"https://www.facebook.com/soomdoom/","https://soom.bandcamp.com/","","усі альбоми"
"Space Of Variations","Mind Darknet","sing222","*","01.11.2019","nov","Metal","metal","англійська","","*","*","*","*","*","*","*","","Вінниця","чоловіча","Центр",NA,NA,"","","https://f4.bcbits.com/img/a3935901136_16.jpg",20286,"https://www.facebook.com/SpaceOfVariations/","https://itunes.apple.com/ua/album/mind-darknet/1440615828","","усі альбоми"
"SpivOberta","Нові Мости","sing223","*","22.08.2019","aug","Pop, Electronic","pop","українська","","*","*","","*","*","*","*","*","Добропілля","чоловіча","Схід",NA,NA,"","","https://notatky.com.ua/wp-content/uploads/DDsfd-2_2-400.jpg",20287,"https://www.facebook.com/spivoberta","https://soundcloud.com/spivoberta/sets/novimosty","","усі альбоми"
"Stars & Mellow","Everywhere","sing224","*","02.04.2019","apr","Alternative","rock","англійська","","*","","","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","http://overdrive.com.ua/wp-content/uploads/2018/04/artworks-000299668098-s0w385-t500x500.jpg",20288,"https://www.facebook.com/starsandmellow/","https://itunes.apple.com/ua/album/everywhere/1359827842","","усі альбоми"
"Stoned Jesus","Pilgrims","sing225","","07.09.2019","sep","rock","rock","англійська","","*","*","*","*","*","*","*","*","Київ","чоловіча","Київ",1,NA,"Thessalia","Stoned_Jesus_Thessalia.mp3","https://f4.bcbits.com/img/a1224613244_10.jpg",20289,"https://www.facebook.com/stonedjesusband/","https://itunes.apple.com/us/album/pilgrims/1403423847","yes","усі альбоми"
"stonefromthesky","Spirals","sing226","*","20.07.2019","jul","Electronic/Experimental","electronic","англійська","","*","","*","*","*","*","*","","Київ","чоловіча","Київ",NA,NA,"","","https://f4.bcbits.com/img/a3908647420_10.jpg",20412,"https://www.facebook.com/stonefromthesky","https://iamstonefromthesky.bandcamp.com/album/spirals","","усі альбоми"
"Svrm","Лихиї вітри стогнуть без упину","sing227","*","15.05.2019","may","","metal","українська","","","","*","*","*","","*","*","Харків","чоловіча","Схід",NA,NA,"","","https://f4.bcbits.com/img/a3070001471_10.jpg",20367,"https://www.facebook.com/Svrm-407478693053139/","https://svrm.bandcamp.com/album/--6","","усі альбоми"
"TARABAROVA","23:25","sing228","","12.10.2019","oct","pop","pop","українська","","*","","","*","*","*","*","*","Київ","жіноча","Київ",NA,NA,"","","http://www.musicboxua.tv/wp-content/uploads/2018/09/TARABAROVA_23_25.jpg",20290,"https://www.facebook.com/TARABAROVAofficial/","https://itunes.apple.com/ua/album/23-25/1436467657","","усі альбоми"
"The Doox","Ліра","sing229","*","15.06.2019","jun","ethno rock","ethno","українська","","","*","","","","","*","","Київ","мікс","Київ",NA,NA,"","","https://notatky.com.ua/wp-content/uploads/doox-lira400.jpg",20291,"https://www.facebook.com/thedoox/","https://soundcloud.com/thedoox/sets/the-doox-lira","","усі альбоми"
"The Hardkiss","Залізна ластівка","sing230","","19.09.2019","sep","Alternative","pop","мікс","eng","*","","","*","*","*","*","*","Київ","мікс","Київ",NA,NA,"","","https://upload.wikimedia.org/wikipedia/uk/thumb/6/60/The_Hardkiss_-_%D0%97%D0%B0%D0%BB%D1%96%D0%B7%D0%BD%D0%B0_%D0%BB%D0%B0%D1%81%D1%82%D1%96%D0%B2%D0%BA%D0%B0.jpg/250px-The_Hardkiss_-_%D0%97%D0%B0%D0%BB%D1%96%D0%B7%D0%BD%D0%B0_%D0%BB%D0%B0%D1%81%D1%82%D1%96%D0%B2%D0%BA%D0%B0.jpg",20292,"https://www.facebook.com/THEHARDKISS/","https://itunes.apple.com/us/album/%D0%B7%D0%B0%D0%BB%D1%96%D0%B7%D0%BD%D0%B0-%D0%BB%D0%B0%D1%81%D1%82%D1%96%D0%B2%D0%BA%D0%B0/1435487209","","усі альбоми"
"THE INFESTATION","Fractal Delusion","sing231","","31.03.2019","mar","Death Metal / Deathcore / Electronic","metal","англійська","","","*","*","*","*","*","*","","Миколаїв","чоловіча","Південь",NA,NA,"","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/cover_22.jpg",20401,"https://www.facebook.com/theinfestationband/","https://theinfestation.bandcamp.com/album/fractal-delusion","","усі альбоми"
"The Nietzsche","Live 201","sing232","","01.04.2019","apr","Chaotic Hardcore/Mathcore","metal","українська","","","*","*","","","","","","Одеса","чоловіча","Південь",NA,NA,"","","https://f4.bcbits.com/img/a3115109261_10.jpg",20414,"https://www.facebook.com/thenietzscheband","https://thenietzsche.bandcamp.com/album/live-201","","усі альбоми"
"The Orchestra Of Mirrored Reflections","Narrow Escape","sing233","","25.04.2019","apr","Dark Jazz","jazz","немає","","","","*","","","","","","Дніпро","мікс","Центр",1,NA,"","","https://f4.bcbits.com/img/a3108677677_16.jpg",20293,"https://www.facebook.com/TheOrchestraOfMirroredReflections","https://joltai.bandcamp.com/album/narrow-escape","","усі альбоми"
"The Room Without Sun","One More Time With Feelings","sing234","*","01.03.2019","mar","Synthwave","rock","англійська","","","","*","*","*","*","*","*","Berlin","чоловіча","Закордон",NA,NA,"","","https://www.neformat.com.ua/images/imagecache/material_680w/news/a2717380948_10_0.jpg",20294,"https://www.facebook.com/theroomwithoutsun/","https://roomwithoutsun.bandcamp.com/","","усі альбоми"
"The Troubled","Spacing Away","sing235","*","12.09.2019","sep","Punk rock","rock","англійська","","","*","*","*","*","*","","*","Київ","чоловіча","Київ",NA,NA,"","","https://www.neformat.com.ua/images/imagecache/material_680w/news/a3411925714_10.jpg",20295,"https://www.facebook.com/Thetroubledpsycho","https://thetroubledpsycho.bandcamp.com/album/spacing-away","","усі альбоми"
"Transильванія","Dance Elements","sing236","","16.11.2019","nov","rock","rock","мікс","eng","","*","","*","","","*","*","Одеса","чоловіча","Південь",NA,NA,"","","https://i.scdn.co/image/d2a39e16a3eb64f96e89132b10db8f2daa4ce76d",20359,"https://www.facebook.com/musictransilvania/","https://soundcloud.com/alexey-sholokhov/sets/dance-elements","","усі альбоми"
"Troye Zillia","Paradise Birds","sing237","","04.01.2019","jan","world music","ethno","українська","","","","","*","","","*","","Львів","мікс","Захід",NA,NA,"","","https://notatky.com.ua/wp-content/uploads/troye-p.jpg",20376,"https://www.facebook.com/troyezillia/","https://play.google.com/store/music/album?id=Bweokduvmyzbsnhc4zmded2o2te&tid=song-Teqsh65zwzi6yspg75osddgo7zy","","усі альбоми"
"Twelves","It's Safer On The Outside","sing238","*","12.05.2019","may","Alternative Metal, Post-Hardcore, Metalcore","metal","англійська","","","*","*","*","*","*","*","*","Львів","мікс","Захід",NA,NA,"","","https://f4.bcbits.com/img/a1130294195_10.jpg",20392,"https://www.facebook.com/twelves.music.XII","https://twelvesband.bandcamp.com/album/its-safer-on-the-outside-2","","усі альбоми"
"TYUPA","SKELI","sing239","*","22.12.2019","dec","electronic","electronic","українська","","","*","","*","*","","*","","Ужгород","мікс","Захід",NA,NA,"","","https://notatky.com.ua/wp-content/uploads/tyupa-lp-cover-400.jpg",20418,"https://www.facebook.com/tyupamusic/","https://soundcloud.com/dzhmilrec/sets/tyupa-skeli?fbclid=IwAR1lcPB4GzNHj0GRSXM6CcKGcRqoWZf5kQVInUJgGDtaSDfN0X8q8B3p6Os","","усі альбоми"
"Ulvegr","Vargkult","sing240","","30.01.2019","jan","HEATHEN BLACK METAL","metal","англійська","","","","*","","","","*","","Харків","чоловіча","Схід",NA,NA,"","","http://www.metal-tracker.com/cache_images/details/2234690.jpg",20296,"https://www.facebook.com/Ulvegr/","https://ulvegr.bandcamp.com/album/vargkult","","усі альбоми"
