"group","album","id","First_.lp._release","release_date","month","Selfdetermination","style","language","language_2nd","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","City","sex","region","longList","shortList","Название.трека","audio","image","ID.на.сайту.Аристократов","Ссылка.на.группу","listen","isaudio","aprize"
"General Sherman","Welcome to Almost There","sing125","*","12.09.2019","sep","hip hop","hip hop & rap","англійська","","*","*","*","*","*","*","*","*","Дніпро","чоловіча","Центр",NA,NA,"","","https://direct.rhapsody.com/imageserver/images/Alb.327692131/500x500.jpg",20219,"https://www.facebook.com/musicofgeneralsherman/","https://soundcloud.com/general_sherman/sets/welcome-to-almost-there/s-3Ely8","","усі альбоми"
"Gerollds","Місце під сонцем","sing126","","09.02.2019","feb","rock ","rock","мікс","eng","*","","","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","https://static.qobuz.com/images/covers/sa/23/or64au94s23sa_300.jpg",20217,"https://www.facebook.com/Gerollds/","https://itunes.apple.com/ru/album/%D0%BC%D1%96%D1%81%D1%86%D0%B5-%D0%BF%D1%96%D0%B4-%D1%81%D0%BE%D0%BD%D1%86%D0%B5%D0%BC/1343200510?l=uk","","усі альбоми"
"GG ГуляйГород","Ethno EnerGGy","sing127","","27.02","feb","dance, folk","ethno","українська","","*","","","*","*","*","*","*","Київ","мікс","Київ",NA,NA,"","","https://notatky.com.ua/wp-content/uploads/gg-lp-400.jpg",20218,"https://www.facebook.com/GGProjectUA","https://itunes.apple.com/us/album/ethno-energgy/1355004576","","усі альбоми"
"Golos","Lost In Tape","sing128","*","22.08.2019","aug","electronic","electronic","немає","","","*","*","","","","","","Львів","чоловіча","Захід",NA,NA,"","","https://f4.bcbits.com/img/a3933793838_16.jpg",20220,"","https://soundcloud.com/golosp/sets/lost-in-tape-2018","","усі альбоми"
"Hains Point","Symmetry","sing129","","15.01.2019","jan","Indie Rock","rock","англійська","","*","","*","*","","","","*","Amsterdam","чоловіча","Закордон",NA,NA,"","","https://images-na.ssl-images-amazon.com/images/I/61PJdalkmbL._SS500.jpg",20221,"https://www.facebook.com/hainspoint/","https://hainspointrock.bandcamp.com/album/symmetry","","усі альбоми"
"Heartprints","See It All","sing130","*","09.05.2019","may","metal","metal","англійська","","","*","","*","*","*","*","*","Запоріжжя","чоловіча","Південь",NA,NA,"","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/cover%20%282%29_1.jpg",20222,"https://www.facebook.com/Heartprintsband/","https://soundcloud.com/sunsetpoetry","","усі альбоми"
"Heinali","Iridescent","sing131","","12.10.2019","oct","Ambient, electronic","electronic","немає","","*","","*","*","","*","*","*","Київ","чоловіча","Київ",1,NA,"Iridescent","Heinali_Iridescent.mp3","https://assets.boomkat.com/spree/products/533512/large/192562903995.jpg",20223,"https://www.facebook.com/heinali/","https://itunes.apple.com/us/album/iridescent/1435071964","yes","усі альбоми"
"Hudaki Village Band","YO!","sing132","","28.01.2019","jan","ethno, folk","ethno","українська","","*","*","*","*","*","*","*","*","Нижнє селище","мікс","Захід",1,NA,"From Khust to Sighet","Hudaki_village_band_From_Khust_to_Sighet.mp3","https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/a4/da/55/a4da55bb-08af-86ae-545c-e2d71baa64c9/193428262881.jpg/626x0w.jpg",20224,"https://www.facebook.com/hudakivillageband/","https://hudakivillageband.bandcamp.com/releases","yes","усі альбоми"
"Indytronics (INDT)","Palace","sing133","","15.05.2019","may","alternative","indie","англійська","","*","*","","*","","","*","","Київ","чоловіча","Київ",1,NA,"Savannah Only Temple","INDT_Savannah_Only_Temple.mp3","https://www.neformat.com.ua/images/imagecache/material_680w/releases/42140103642_44c33eeefb_o.jpg",20225,"https://www.facebook.com/doyouknowindt","https://itunes.apple.com/ua/album/palace/1386327463?l=ru","yes","усі альбоми"
"I N G R E T","Не спи","sing134","*","12.10.2019","oct","alternative","indie","мікс","укр","*","","","*","*","*","*","*","Київ","жіноча","Київ",NA,NA,"","","https://scontent-frx5-1.xx.fbcdn.net/v/t1.0-9/43687249_548807408889935_224736049253842944_n.jpg?_nc_cat=103&_nc_ht=scontent-frx5-1.xx&oh=d84ed145a95476061f23c5187a7c03d0&oe=5CA8DDF6",20226,"https://www.facebook.com/INGRETmusic/?ref=br_rs","https://itunes.apple.com/ua/album/%D0%BD%D0%B5-c%D0%BF%D0%B8/1436865429?app=music&ign-mpt=uo%3D4","","усі альбоми"
